Gene	b#	
gltP	b4077
gltS	b3653
gltX	b2400
glyA	b2551
glyQ	b3560
glyS	b3559
gnd	b2029
gor	b3500
gpp	b3779
gpt	b0238
greA	b3181
grpE	b2614
grxA	b0849
gshA	b2688
gshB	b2947
guaA	b2507
guaB	b2508
guaC	b0104
gyrA	b2231
gyrB	b3699
hdhA	b1619
helD	b0962
hemA	b1210
hemB	b0369
hemC	b3805
hemD	b3804
hemH	b0475
hemL	b0154
hemX	b3803
hemY	b3802
hflC	b4175
hflK	b4174
hflX	b4173
hfq	b4172
hha	b0460
ihfA	b1712
ihfB	b0912
hipB	b1508
hipA	b1507
hisA	b2024
hisB	b2022
hisC	b2021
hisD	b2020
hisF	b2025
hisG	b2019
hisH	b2023
hisI	b2026
hisP	b2306
hisS	b2514
truA	b2318
skp	b0178
hmp	b2552
hns	b1237
hsdM	b4349
hsdR	b4350
hsdS	b4348
htpG	b0473
htpX	b1829
degP	b0161
lpxL	b1054
ribB	b3041
hupA	b4000
hupB	b0440
hyaA	b0972
hyaB	b0973
hyaC	b0974
hyaD	b0975
hyaE	b0976
hyaF	b0977
hycA	b2725
hycB	b2724
hycC	b2723
hycD	b2722
hycE	b2721
hycF	b2720
hycG	b2719
hycH	b2718
zraR	b4004
hypA	b2726
hypB	b2727
hypC	b2728
hypD	b2729
hypE	b2730
iap	b2753
icd	b1136
argP	b2916
iclR	b4018
ileS	b0026
ilvA	b3772
ilvB	b3671
ilvC	b3774
ilvD	b3771
ilvE	b3770
ilvG'	b4488
ilvH	b0078
ilvI	b0077
ilvM	b3769
ilvN	b3670
ilvY	b3773
infA	b0884
infB	b3168
infC	b1718
intD	b0537
ispA	b0421
katE	b1732
rpoS	b2741
katG	b3942
kbl	b3617
kdpA	b0698
kdpB	b0697
kdpC	b0696
kdpD	b0695
kdpE	b0694
kdsA	b1215
kdsB	b0918
waaA	b3633
kefC	b0047
kgtP	b2587
rsmA	b0051
lacA	b0342
lacI	b0345
lacY	b0343
lacZ	b0344
lamB	b4036
lepA	b2569
lepB	b2568
leuO	b0076
leuS	b0642
lexA	b4043
ligA	b2411
lit	b1139
livF	b3454
livG	b3455
livH	b3457
livJ	b3460
livK	b3458
livM	b3456
lon	b0439
lpd	b0116
lpp	b1677
lpxA	b0181
lpxB	b0182
lrp	b0889
lspA	b0027
lysA	b2838
lysC	b4024
lysR	b2839
lysS	b2890
lysU	b4129
malE	b4034
malF	b4033
malG	b4032
malI	b1620
malK	b4035
malM	b4037
malP	b3417
malQ	b3416
malT	b3418
malX	b1621
malY	b1622
malZ	b0403
manA	b1613
manX	b1817
manY	b1818
manZ	b1819
map	b0168
mazE	b2783
mazG	b2781
mcrA	b1159
mcrB	b4346
mcrC	b4345
mdh	b3236
melA	b4119
melB	b4120
menD	b2264
mepA	b2328
metA	b4013
metB	b3939
metC	b3008
metE	b3829
metF	b3941
metG	b2114
metH	b4019
metJ	b3938
metK	b2942
metL	b3940
metR	b3828
mglA	b2149
mglB	b2150
mglC	b2148
miaA	b4171
minC	b1176
minD	b1175
minE	b1174
groL	b4143
groS	b4142
motA	b1890
motB	b1889
mprA	b2684
mraY	b0087
mrcB	b0149
mrdA	b0635
mrdB	b0634
mreB	b3251
mreC	b3250
mreD	b3249
mrp	b2113
mrr	b4351
msbA	b0914
lpxM	b1855
mtlA	b3599
mtlD	b3600
mtr	b3161
mukB	b0924
murC	b0091
murD	b0088
murE	b0085
murF	b0086
murG	b0090
mutH	b2831
mutS	b2733
mutT	b0099
mutY	b2961
emrE	b0543
nadA	b0750
nadB	b2574
nagA	b0677
nagB	b0678
umpH	b0675
nagE	b0679
nagC	b0676
nanA	b3225
narG	b1224
narH	b1225
narI	b1227
narJ	b1226
narK	b1223
narL	b1221
narV	b1465
narW	b1466
narX	b1222
narY	b1467
narZ	b1468
ndh	b1109
ndk	b2518
nfo	b2159
nhaA	b0019
nirB	b3365
nirC	b3367
nirD	b3366
sfsB	b3188
nlpA	b3661
bamC	b2477
nmpC'	b0553
nrdA	b2234
nrdB	b2235
nth	b1633
nadE	b1740
nupG	b2964
nusA	b3169
nusB	b0416
nusG	b3982
ogt	b1335
ompA	b0957
ompC	b2215
ompF	b0929
ompR	b3405
ompT	b0565
oppA	b1243
oppB	b1244
oppC	b1245
oppD	b1246
oppF	b1247
osmB	b1283
osmC	b1482
oxyR	b3961
pabA	b3360
pabB	b1812
pal	b0741
panF	b3258
parC	b3019
parE	b3030
pck	b3403
pcm	b2743
pcnB	b0143
pdxA	b0052
pdxB	b2320
pdxJ	b2564
pepA	b4260
pepD	b0237
pepN	b0932
pepP	b2908
pepQ	b3847
pfkA	b3916
pfkB	b1723
pflB	b0903
pgi	b4025
pgk	b2926
pgpA	b0418
pgpB	b1278
pgsA	b1912
pheA	b2599
pheP	b0576
pheS	b1714
pheT	b1713
yjdM	b4108
yjdN	b4107
phnC	b4106
phnD	b4105
phnF	b4102
phnG	b4101
phnH	b4100
phnI	b4099
phnJ	b4098
phnK	b4097
phnL	b4096
phnM	b4095
phnN	b4094
phnO	b4093
phnP	b4092
phoA	b0383
phoB	b0399
phoE	b0241
creC	b4399
phoP	b1130
phoQ	b1129
phoR	b0400
pstS	b3728
phoU	b3724
phr	b0708
pinE	b1158
pldA	b3821
pldB	b3825
plsB	b4041
pmbA	b4235
pncB	b0931
pnp	b3164
pntA	b1603
pntB	b1602
polA	b3863
polB	b0060
mrcA	b3396
potA	b1126
potB	b1125
potC	b1124
potD	b1123
potE	b0692
poxB	b0871
ppa	b4226
ppc	b3956
ppiA	b3363
ppiB	b0525
ppsA	b1702
prc	b1830
prfA	b1211
prfB	b2891
priA	b3935
priB	b4201
priC	b0467
secY	b3300
proA	b0243
proB	b0242
proC	b0386
proS	b0194
proV	b2677
proW	b2678
proX	b2679
prs	b1207
psd	b4160
pspA	b1304
pspB	b1305
pspC	b1306
