Gene	b#	
trmI	b2960
yneO'	b4696
nrfA	b4070
smpB	b2620
intA	b2622
grcA	b2579
yfiE	b2577
yfiF	b2581
gmd	b2053
wcaG	b2052
wcaH	b2051
wcaI	b2050
cmtB	b2934
cmtA	b2933
ygdD	b2807
rlmM	b2806
gcvA	b2808
lplA	b4386
talA	b2464
hofC	b0106
hybA	b2996
hybB	b2995
hybC	b2994
hybD	b2993
hybE	b2992
hybF	b2991
hybG	b2990
yebE	b1846
yebF	b1847
yebG	b1848
purT	b1849
gcvP	b2903
aidB	b4187
yjfC	b4186
torA	b0997
torC	b0996
ispF	b2746
umpG	b2744
stfE'	b1157
purU	b1232
yceI	b1056
amtB	b0451
puuB	b1301
amiA	b2435
yghB	b3009
yddE	b1464
etk	b0981
rpiB	b4090
mobB	b3856
mobA	b3857
yihD	b3858
srkA	b3859
yihF	b3861
yihG	b3862
yihI	b3866
hemN	b3867
typA	b3871
yihL	b3872
yihM	b3873
yihN	b3874
yihO	b3876
yihP	b3877
yihQ	b3878
yihR	b3879
yihS	b3880
yihT	b3881
yihU	b3882
yihV	b3883
yihW	b3884
yihX	b3885
yihY	b3886
dtd	b3887
yiiD	b3888
yiiE	b3889
yiiF	b3890
fdoI	b3892
fdoH	b3893
fdoG	b3894
fdhD	b3895
yiiG	b3896
frvR	b3897
frvX	b3898
frvB	b3899
frvA	b3900
rhaM	b3901
rhaD	b3902
rhaA	b3903
rhaB	b3904
kdgT	b3909
yiiM	b3910
gph	b3385
cpxP	b4484
fieF	b3915
yiiQ	b3920
yiiR	b3921
yiiS	b3922
uspD	b3923
zapB	b3928
rraA	b3929
menA	b3930
hslU	b3931
yiiX	b3937
tehA	b1429
tehB	b1430
opgG	b1048
opgH	b1049
trxC	b2582
trmL	b3606
dctR	b3507
slp	b3506
yeeA	b2008
sbmC	b2009
dacD	b2010
yeeD	b2012
yeeE	b2013
plaP	b2014
rpoE	b2573
recT	b1349
ralR	b1348
ydaC	b1347
yijE	b3943
yijF	b3944
gldA	b3945
fsaB	b3946
frwA	b3947
frwC	b3949
frwB	b3950
pflD	b3951
pflC	b3952
frwD	b3953
yijO	b3954
eptC	b3955
nfi	b3998
yjaG	b3999
yjaH	b4001
zraP	b4002
yjbB	b4020
pepE	b4021
rluF	b4022
yjbD	b4023
yjbE	b4026
yjbF	b4027
yjbG	b4028
yjbH	b4029
yjbI'	b4038
yjbJ	b4045
zur	b4046
yjbL	b4047
yjbM	b4048
dusA	b4049
pspG	b4050
aphA	b4055
yjbQ	b4056
yjbR	b4057
yjcB	b4060
yjcC	b4061
ghxP	b4064
yjcE	b4065
yjcF	b4066
actP	b4067
yjcH	b4068
nrfB	b4071
nrfC	b4072
nrfD	b4073
nrfE	b4074
nrfF	b4075
nrfG	b4076
yjcO	b4078
mdtP	b4080
mdtO	b4081
mdtN	b4082
yjcS	b4083
alsK	b4084
alsE	b4085
alsC	b4086
alsA	b4087
rpe	b3386
lldP	b3603
lldR	b3604
lldD	b3605
yibL	b3602
mtlR	b3601
adiY	b4116
flgK	b1082
arfA	b4550
zntR	b3292
yhdN	b3293
nupC	b2393
htrE	b0139
yadV	b0140
fimI	b4315
fliP	b1948
fliQ	b1949
fliR	b1950
rfbA	b2039
rfbC	b2038
wzxB	b2037
glf	b2036
wbbH	b2035
wbbI	b2034
wbbJ	b2033
wbbK	b2032
wbbL'	b4571
yehA	b2108
yehB	b2109
yehC	b2110
yehD	b2111
yehE	b2112
yehH'	b4499
yehI	b2118
yehK	b4541
yehL	b2119
yehM	b2120
yehP	b2121
yehQ'	b2122
yehR	b2123
yehS	b2124
yehT	b2125
yehU	b2126
mlrA	b2127
yehW	b2128
yehX	b2129
yehY	b2130
osmF	b2131
bglX	b2132
pbpG	b2134
yohC	b2135
yohD	b2136
yohF	b2137
mdtQ'	b2139
dusC	b2140
yohJ	b2141
yohK	b2142
sanA	b2144
yeiG	b2154
yeiH	b2158
yeiI	b2160
nupX	b2161
rihB	b2162
yeiL	b2163
psuT	b2164
psuG	b2165
setB	b2170
yeiP	b2171
yeiQ	b2172
yejA	b2177
yejB	b2178
yejE	b2179
yejF	b2180
yejG	b2181
yejL	b2187
rsuA	b2183
yejH	b2184
yejK	b2186
yejM	b2188
yejO'	b2190
ccmH	b2194
dsbE	b2195
ccmF	b2196
ccmE	b2197
ccmC	b2199
ccmB	b2200
ccmA	b2201
napC	b2202
napB	b2203
napH	b2204
napG	b2205
napA	b2206
napF	b2208
mqo	b2210
yojI	b2211
apbE	b2214
mokC	b0018
nikA	b3476
nikB	b3477
nikC	b3478
nikD	b3479
nikE	b3480
recX	b2698
ppdA	b2826
nuoA	b2288
nuoB	b2287
nuoC	b2286
nuoE	b2285
nuoG	b2283
nuoH	b2282
nuoI	b2281
nuoJ	b2280
nuoK	b2279
nuoL	b2278
nuoN	b2276
sgrR	b0069
secG	b3175
chpB	b4225
yfiH	b2593
rluD	b2594
efp	b4147
tktB	b2465
feoA	b3408
feoB	b3409
gapC'	b4493
yeiR	b2173
yeiE	b2157
hofB	b0107
ppdD	b0108
norR	b2709
ydcF	b1414
nlpD	b2742
alpA	b2624
hofQ	b3391
prfC	b4375
yjjG	b4374
acrR	b0464
ychJ	b1233
rssA	b1234
rssB	b1235
yggI	b2944
lrhA	b2289
hisJ	b2309
hisQ	b2308
kdpF	b4513
treB	b4240
lgt	b2828
uraA	b2497
hscA	b2526
hscB	b2527
iscA	b2528
ucpA	b2426
rhtA	b0813
ompX	b0814
iceT	b2077
nlpE	b0192
yaeF	b0193
yfhG	b2555
ydhB	b1659
ydhC	b1660
sdaC	b2796
napD	b2207
pgm	b0688
yhbJ	b3205
npr	b3206
galP	b2943
asr	b1597
cobS	b1992
cobT	b1991
idnK	b4268
narU	b1469
sieB	b1353
kilR	b1352
ydaE	b4526
ydaF	b4527
rdgC	b0393
yaiE	b0391
eaeH'	b0297
gatR'	b4498
rsmB	b3289
ytjC	b4395
mukF	b0922
elyC	b0920
smtA	b0921
brnQ	b0401
ccmD	b2198
yjjI	b4380
hinT	b1103
gspM	b3334
ydaG	b1355
yjdC	b4135
cutA	b4137
dsbD	b4136
cspE	b0623
pagP	b0622
grxD	b1654
yajG	b0434
ampG	b0433
nudF	b3034
yqiB	b3033
yqiA	b3031
cpdA	b3032
ptsP	b2829
hemF	b2436
eutR	b2437
glnK	b0450
nadK	b2615
cbpA	b1000
cbpM	b0999
torD	b0998
yccE	b1001
seqA	b0687
chbG	b1733
yegD	b2069
ygaC	b2671
treR	b4241
cspB	b1557
cspC	b1823
cspF	b1558
rlmA	b1822
flc	b0624
waaF	b3620
panM	b3459
yhhL	b3466
yhhM	b3467
yhhN	b3468
zntA	b3469
tusA	b3470
yhhQ	b3471
dcrB	b3472
yhhS	b3473
yhhT	b3474
acpT	b3475
rbbA	b3486
yhiI	b3487
yhiJ	b3488
yhiL'	b4660
yhiM	b3491
yhiN	b3492
pitA	b3493
uspB	b3494
dtpB	b3496
rsmJ	b3497
rlmJ	b3499
arsR	b3501
arsB	b3502
arsC	b3503
yhiS'	b3504
mdtE	b3513
mdtF	b3514
gadW	b3515
gadX	b3516
yhjA	b3518
treF	b3519
yhjB	b3520
yhjC	b3521
yhjD	b3522
yhjE	b3523
yhjG	b3524
yhjH	b3525
kdgK	b3526
yhjJ	b3527
yhjK	b3529
bcsC	b3530
bcsZ	b3531
bcsB	b3532
bcsA	b3533
bcsQ'	b3534
yhjR	b3535
bcsE	b3536
bcsF	b3537
bcsG	b3538
yhjV	b3539
eptB	b3546
yhjX	b3547
yhjY	b3548
yiaC	b3550
yiaD	b3552
ghrB	b3553
yiaF	b3554
wecH	b3561
xylG	b3567
xylH	b3568
yiaJ	b3574
yiaK	b3575
yiaL	b3576
yiaM	b3577
yiaN	b3578
yiaO	b3579
lyxK	b3580
sgbH	b3581
sgbU	b3582
sgbE	b3583
yiaT	b3584
yiaU	b3585
yiaV	b3586
yiaW	b3587
aldB	b3588
yiaY	b3589
grxC	b3610
yibN	b3611
gpmM	b3612
envC	b3613
yibQ	b3614
rutR	b1013
tmk	b1098
ycfH	b1100
sapD	b1291
sapF	b1290
yccF	b0961
mgsA	b0963
yfhH	b2561
yjtD	b4403
pepB	b2523
iscX	b2524
coaE	b0103
zapD	b0102
yacG	b0101
yacH	b0117
acnB	b0118
cueO	b0123
can	b0126
yadG	b0127
yadH	b0128
yadI	b0129
yfaD	b2244
yadK	b0136
yadL	b0137
yadM	b0138
yadN	b0141
hrpB	b0148
ligT	b0147
clcA	b0155
erpA	b0156
yadS	b0157
btuF	b0158
cdaR	b0162
yaeH	b0163
yaeI	b0164
yagA	b0267
yagB'	b0266
afuC	b0262
rseA	b2572
yjjJ	b4385
ettA	b4391
pspF	b1303
ydfG	b1539
hokA	b4455
yecC	b1917
xisD'	b4633
exoD'	b0539
peaD'	b4508
renD'	b0542
ppiC	b3775
yifL	b4558
arfB	b0191
rtcR	b3422
fadK	b1701
ssuB	b0933
ybgD	b0719
yfaE	b2236
kduD	b2842
menF	b2265
ygiL	b3043
intB'	b4271
prkB	b3355
rsmE	b2946
cusA	b0575
znuB	b1859
ydjE	b1769
intE	b1140
nlpI	b3163
ygdG	b2798
ygdH	b2795
yhfG	b3362
ycaI	b0913
yfeH	b2410
yecD	b1867
yecE	b1868
gntT	b3415
nrdF	b2676
fxsA	b4140
ybcF	b0521
rcsD	b2216
csiR	b2664
lhgO	b2660
sfmF	b0534
nanC	b4311
ybfI'	b4636
ydiE	b1705
dauA	b1206
ttdT	b3063
msrB	b1778
ybgE	b0735
yegE	b2067
ycbF	b0944
dhaM	b1198
mdtK	b1663
rlmN	b2517
chaB	b1217
chaC	b1218
ychN	b1219
ychO	b1220
ybiH	b0796
iaaA	b0828
aegA	b2468
nudK	b2467
rfbD	b2040
rfbB	b2041
intS	b2349
gatA	b2094
gatB	b2093
gatC'	b2092
gatD	b2091
gatZ	b2095
gatY	b2096
yfdC	b2347
ybiI	b0803
ybiJ	b0802
tauD	b0368
prmC	b1212
ogrK	b2082
modA	b0763
tomB	b0461
puuR	b1299
ydiF	b1694
rluB	b1269
ygiM	b3055
rseP	b0176
menE	b2260
menH	b2263
yjfF	b4231
mpl	b4233
yfjD	b4461
yggL	b2959
ycfJ	b1110
eamB	b2578
yfiL	b2602
speG	b1584
ybcH	b0567
prmB	b2330
norW	b2711
rspA	b1581
rspB	b1580
rraB	b4255
ybaK	b0481
lplT	b2835
gadC	b1492
ydgA	b1614
alsB	b4088
alsR	b4089
yjcZ	b4110
adiC	b4115
yjdF	b4121
dcuR	b4124
dcuS	b4125
yjdI	b4126
yjdJ	b4127
ghoS	b4128
dtpC	b4130
yjeH	b4141
yjeI	b4144
yjeJ	b4145
epmB	b4146
blc	b4149
yjeM	b4156
yjeN	b4157
yjeO	b4158
mscM	b4159
rsgA	b4161
orn	b4162
queG	b4166
yjeT	b4176
rlmB	b4180
yjfI	b4181
yjfJ	b4182
yjfK	b4183
yjfL	b4184
yjfM	b4185
bsmA	b4189
yjfP	b4190
ulaR	b4191
ulaG	b4192
ulaA	b4193
ulaB	b4194
ulaC	b4195
ulaD	b4196
ulaE	b4197
ulaF	b4198
yjfY	b4199
yjfZ	b4204
ytfA'	b4205
ytfB	b4206
fklB	b4207
cycA	b4208
ytfE	b4209
ytfF	b4210
qorB	b4211
ytfH	b4212
ytfI	b4215
ytfJ	b4216
ytfK	b4217
ytfL	b4218
tamA	b4220
tamB	b4221
ytfP	b4222
ytfQ	b4227
ytfR	b4485
ytfT	b4230
yjfN	b4188
garD	b3128
nrdG	b4237
ridA	b4243
mgtA	b4242
yjgH	b4248
bdcA	b4249
bdcR	b4251
tabA	b4252
yjgL	b4253
yjgM	b4256
yjgN	b4257
lptF	b4261
lptG	b4262
yjgR	b4263
idnR	b4264
idnT	b4265
idnO	b4266
idnD	b4267
yjgX'	b4274
yjhB	b4279
yjhC	b4280
yjhD'	b4281
yjhE'	b4282
yjhF	b4296
yjhG	b4297
yjhH	b4298
yjhI	b4299
sgcR	b4300
sgcE	b4301
sgcA	b4302
sgcQ	b4303
sgcC	b4304
sgcX	b4305
yjhP	b4306
yjhQ	b4307
yjhR'	b4308
nanS	b4309
nanM	b4310
gntP	b4321
yjiC	b4325
iraD	b4326
hypT	b4327
iadA	b4328
yjiG	b4329
yjiH	b4330
kptA	b4331
yjiJ	b4332
yjiK	b4333
yjiL	b4334
yjiM	b4335
yjiN	b4336
mdtM	b4337
yjiP'	b4339
yjiR	b4340
yjiS	b4341
yjiT'	b4342
yjiV'	b4486
symE	b4347
yjiX	b4353
yjiY	b4354
lgoT	b4356
lgoR	b4357
lgoD	b4358
opgB	b4359
yjjP	b4364
yjjQ	b4365
bglJ	b4366
fhuF	b4367
rsmC	b4371
yjjU	b4377
yjjV	b4378
yjjW	b4379
yjjX	b4394
yjjY	b4402
yjgZ	b4277
yjhU	b4295
yacL	b0119
fabF	b1095
yfcC	b2298
caiE	b0035
rluA	b0058
yabP'	b4659
degQ	b3234
gstA	b1635
yhcB	b3233
torR	b0995
torT	b0994
torS	b0993
lptA	b3200
ybdF	b0579
ybdG	b0577
csgB	b1041
adhP	b1478
ybaL	b0478
yiaG	b3555
dppB	b3543
dppC	b3542
dppD	b3541
dppF	b3540
gntK	b3437
gntR	b3438
gntU	b4476
ygcB	b2761
dsrB	b1952
rnk	b0610
pdxK	b2418
yfeK	b2419
wcaM	b2043
wcaL	b2044
ycjD	b1289
mdaB	b3028
ygiN	b3029
yceJ	b1057
gltJ	b0654
gltK	b0653
gltL	b0652
flgM	b1071
flgN	b1070
lpxH	b0524
uidR	b1618
uidC	b1615
solA	b1059
dinI	b1061
pmrD	b2259
tpx	b1324
uspF	b1376
ygaU	b2665
bamA	b0177
iscS	b2530
znuA	b1857
yeaD	b1780
fliY	b1920
ldtA	b1990
uspG	b0607
lolA	b0891
ygfZ	b2898
flu	b2000
grxB	b1064
yceK	b1050
rarA	b0892
yciM	b1280
ybdH	b0599
nudL	b1813
ttdR	b3060
azoR	b1412
fldB	b2895
pncC	b2700
mltB	b2701
gltI	b0655
rihA	b0651
ycaK	b0901
yccJ	b1003
yggM	b2956
yggN	b2958
ygbE	b2749
ybcI	b0527
yedI	b1958
yedJ	b1962
luxS	b2687
yddG	b1473
dxr	b0173
mug	b3068
patA	b3073
ygjH	b3074
ygjI	b3078
ygjJ	b3079
ygjK	b3080
fadH	b3081
higA	b3082
higB	b3083
rlmG	b3084
ygjP	b3085
ygjQ	b3086
ygjR	b3087
alx	b3088
sstT	b3089
ygjV	b3090
uxaA	b3091
uxaC	b3092
exuT	b3093
exuR	b3094
yqjA	b3095
mzrA	b3096
yqjC	b3097
yqjD	b3098
yqjE	b3099
yqjF	b3101
yqjG	b3102
yhaH	b3103
yhaI	b3104
yhaJ	b3105
yhaK	b3106
yhaL	b3107
yhaM	b4470
yhaO	b3110
tdcG	b4471
tdcF	b3113
tdcE	b3114
garP	b3127
yhaV	b3130
agaR	b3131
kbaZ	b3132
agaV	b3133
agaW'	b3134
agaA'	b3135
agaS	b3136
kbaY	b3137
agaB	b3138
agaC	b3139
agaD	b3140
agaI	b3141
yraH	b3142
yraI	b3143
yraJ	b3144
yraK	b3145
rsmI	b3146
lpoA	b3147
yraN	b3148
diaA	b3149
yraP	b3150
yraQ	b3151
yraR	b3152
yhbO	b3153
yhbP	b3154
yhbQ	b3155
yhbS	b3156
yhbT	b3157
yhbU	b3158
yhbV	b3159
yhbW	b3160
yhbX	b3173
yhbY	b3180
obgE	b3183
ibaG	b3190
mlaB	b3191
mlaC	b3192
mlaD	b3193
mlaE	b3194
mlaF	b3195
yrbG	b3196
kdsD	b3197
kdsC	b3198
lptC	b3199
yrbL	b3207
mtgA	b3208
yhcC	b3211
yhcD	b3216
yhcE'	b4569
yhcF	b3219
yhcG	b3220
yhcH	b3221
nanK	b3222
nanE	b3223
nanR	b3226
dcuD	b3227
zapE	b3232
yhcN	b3238
yhcO	b3239
aaeB	b3240
aaeA	b3241
aaeX	b3242
aaeR	b3243
tldD	b3244
yhdP	b4472
ybaM	b0466
yhdT	b3257
yhdU	b3263
yhdV	b3267
yhdW'	b3268
yhdX	b3269
yhdY	b3270
yhdZ	b3271
yrdA	b3279
yrdB	b3280
tsaC	b3282
yrdD	b3283
ybjC	b0850
ybaN	b0468
yefM	b2017
ygbF	b2754
yfaL	b2233
ybeL	b0643
abgT	b1336
ybgF	b0742
matP	b0956
yfiM	b2586
opgD	b1424
yebK	b1853
yecF	b1915
uspC	b1895
yecH	b1906
ydcH	b1426
proQ	b1831
ampH	b0376
yciN	b1273
ybfK	b4590
ycjF	b1322
yajI	b0412
ybhC	b0772
tusE	b0969
stfP	b1154
zapA	b2910
ybcJ	b0528
yfiN	b2604
yfaH'	b2238
gss	b2988
pitB	b2987
gspF	b3327
gspG	b3328
gspH	b3329
gspA	b3323
gspC	b3324
gspD	b3325
gspE	b3326
gspI	b3330
gspJ	b3331
gspK	b3332
gspL	b3333
tusB	b3343
tusC	b3344
tusD	b3345
yheO	b3346
fkpA	b3347
lpxP	b2378
kefG	b3351
yheS	b3352
yheT	b3353
yheU	b3354
yhfK	b3358
yhfL	b3369
frlA	b3370
frlB	b3371
frlC	b4474
frlD	b3374
frlR	b3375
yhfS	b3376
yhfT	b3377
yhfU	b3378
php	b3379
yhfW	b3380
yhfX	b3381
yhfY	b3382
yhfZ	b3383
hofP	b3392
hofO	b3393
hofN	b3394
hofM	b3395
nudE	b3397
yrfF	b3398
yrfG	b3399
hslR	b3400
hslO	b3401
yhgE	b3402
yhgF	b3407
feoC	b3410
gntX	b3413
nfuA	b3414
hrpA	b1413
rtcA	b4475
rtcB	b3421
ygaH	b2683
yhgN	b3434
yhhW	b3439
yhhX	b3440
yhhY	b3441
yhhZ	b3442
yrhA'	b3443
yrhB	b3446
yfdN	b2357
yfdM'	b2356
ynfM	b1596
glcG	b2977
yqjH	b3070
yqjI	b3071
aer	b3072
cutC	b1874
glk	b2388
syd	b2793
norV	b2710
pqiA	b0950
pqiB	b0951
yciO	b1267
yciQ	b1268
ygfF	b2902
scpB	b2919
scpC	b2920
ygfI	b2921
yggP	b4465
yggR	b2950
yggS	b2951
yggT	b2952
yggU	b2953
rdgB	b2954
yggW	b2955
yggX	b2962
mltC	b2963
yqgA	b2966
yghD	b2968
yghE'	b2969
yghF'	b2970
yghG	b2971
pppA	b2972
sslE	b4466
glcA	b2975
glcE	b4468
glcD	b2979
glcC	b2980
yghO'	b2981
yghQ	b2983
yghR	b2984
yghS	b2985
yghT	b2986
yghU	b2989
hybO	b2997
yghW	b2998
yghX'	b4658
gpr	b3001
yqhA	b3002
yqhC	b3010
yqhD	b3011
dkgA	b3012
yqhG	b3013
yqhH	b3014
ygiQ	b4469
ygiS	b3020
mqsA	b3021
mqsR	b3022
ygiV	b3023
ygiW	b3024
qseB	b3025
qseC	b3026
ygiZ	b3027
yqiC	b3042
ygcE	b2776
queE	b2777
ygcG	b2778
ygeF'	b2850
ygeG	b2851
ygeH	b2852
ygeI	b2853
pbl'	b2854
ygeK'	b2856
ygeN'	b2858
ygeO'	b2859
ygeQ'	b2863
ygeR	b2865
xdhA	b2866
xdhB	b2867
xdhC	b2868
ygeV	b2869
ygeW	b2870
ygeX	b2871
ygeY	b2872
hyuA	b2873
yqeA	b2874
yqeB	b2875
yqeC	b2876
mocA	b2877
ygfK	b2878
ssnA	b2879
ygfM	b2880
xdhD	b2881
xanQ	b2882
guaD	b2883
ghxQ	b4464
ygfS	b2886
ygfT	b2887
uacT	b2888
idi	b2889
cptA	b2896
sdhE	b2897
ygdR	b2833
yqfA	b2899
yqfB	b2900
bglA	b2901
ygdI	b2809
csdA	b2810
csdE	b2811
tcdA	b2812
mltA	b2813
amiC	b2817
rppH	b2830
ygdQ	b2832
tas	b2834
kduI	b2843
yqeF	b2844
yqeG	b2845
yqeH	b2846
yqeI	b2847
yqeJ	b2848
pphB	b2734
ygbI	b2735
ygbJ	b2736
ygbK	b2737
ygbL	b2738
ygbM	b2739
ygbN	b2740
truD	b2745
ispD	b2747
ftsB	b2748
ygbT	b2755
casE	b2756
casD	b2757
casC	b2758
casB	b2759
casA	b2760
queD	b2765
ygcN	b2766
ygcO	b2767
ygcP	b2768
ygcQ	b2769
ygcR	b2770
ygcS	b2771
ygcU	b4463
ygcW	b2774
znuC	b1858
ycaL	b0909
uup	b0949
tynA	b1386
dinB	b0231
dinJ	b0226
lafU'	b0230
lfhA'	b0229
fadE	b0221
gmhA	b0222
yafJ	b0223
yafK	b0224
yafL	b0227
rayT	b0228
yafN	b0232
yafO	b0233
yafP	b0234
yafQ	b0225
ais	b2252
mlc	b1594
xapB	b2406
yfeN	b2408
dsdC	b2364
ybeM'	b4581
yqfE'	b2915
yqgB	b2939
yqgC	b2940
gudD	b2787
gudX	b2788
gudP	b2789
yqcA	b2790
truC	b2791
yqcC	b2792
queF	b2794
yqcE	b2775
ftnB	b1902
yaiI	b0387
rseB	b2571
rseC	b2570
feaB	b1385
ydbH	b1381
hslJ	b1379
ydbJ	b4529
pfo	b1378
elaA	b2267
elaB	b2266
ldhA	b1380
puuE	b1302
intQ'	b1579
folM	b1606
rstA	b1608
ydgC	b1607
ratB	b2618
ratA	b2619
yfjH	b2623
yfjI	b2625
yfjJ	b2626
yfjK	b2627
yfjL	b2628
yfjM	b2629
rnlA	b2630
rnlB	b2631
yfjP	b2632
yfjQ	b2633
yfjR	b2634
yfjS	b2636
yfjT	b2637
yfjU'	b2638
yfjV'	b2641
yfjW	b2642
yfjX	b2643
yfjY	b2644
yfjZ	b2645
ypjA	b2647
yfhL	b2562
cof	b0446
ybaE	b0445
ybaO	b0447
ldcC	b0186
tilS	b0188
rof	b0189
yaeP	b4406
yaeQ	b0190
yaeR	b0187
ftsK	b0890
modE	b0761
ycjG	b1325
ybhD	b0768
pgl	b0767
ymcE	b0991
gnsA	b4517
yccM	b0992
mngA	b0731
mngB	b0732
nei	b0714
cobU	b1993
yeeH'	b4639
cobC	b0638
nadD	b0639
yecJ	b4537
hlyE	b1182
ybaP	b0482
ybaQ	b0483
copA	b0484
glsA	b0485
ybaT	b0486
ppiD	b0441
ybaV	b0442
fadM	b0443
queC	b0444
ybaY	b0453
ybaZ	b0454
cueR	b0487
ybbJ	b0488
qmcA	b0489
fetA	b0490
fetB	b0491
ybbN	b0492
ybbO	b0493
ybbP	b0496
glxR	b0509
allS	b0504
fsr	b0479
aqpZ	b0875
panE	b0425
yajL	b0424
thiI	b0423
yqeK	b2849
nudI	b2251
torZ	b1872
torY	b1873
yedK	b1931
yedL	b1932
yedN'	b4495
emrK	b2368
emrY	b2367
yfdE	b2371
ygaM	b2672
nrdH	b2673
nrdI	b2674
ygaP	b2668
yqgE	b2948
yqgF	b2949
glcF	b4467
mhpE	b0352
mhpT	b0353
yaiL	b0354
frmB	b0355
frmR	b0357
yaiO	b0358
yaiP	b0363
tauB	b0366
tauA	b0365
tauC	b0367
yaiS	b0364
dtpD	b0709
ybgI	b0710
ybgJ	b0711
ybgK	b0712
ybgL	b0713
ypjI'	b4644
abrB	b0715
ybgO	b0716
ybgP	b0717
ybgQ	b0718
ybhF	b0794
ybhG	b0795
ybiX	b0804
fiu	b0805
mcbA	b0806
rlmF	b0807
ybiO	b0808
opgE	b0815
mntR	b0817
ybiR	b0818
ldtB	b0819
ybiT	b0820
ybiU	b0821
ybiV	b0822
ybiW	b0823
ispU	b0174
gloB	b0212
yafS	b0213
yafT	b0217
yafU'	b0218
yafV	b0219
yafW	b0246
yafX	b0248
yafY	b0251
yafZ	b0252
ykfA	b0253
perR	b0254
ykfC'	b0258
mmuP	b0260
mmuM	b0261
yagE	b0268
yagF	b0269
yagG	b0270
yagH	b0271
yjjZ	b4567
yagI	b0272
abgB	b1337
abgA	b1338
abgR	b1339
smrA	b1340
ydaM	b1341
ydaN	b1342
ttcA	b1344
intR	b1345
ydaQ	b1346
racR	b1356
ydaS	b1357
ydaT	b1358
ydaU	b1359
ydaV	b1360
ydaW'	b1361
rzpR'	b1362
ydaY'	b1366
tmpR'	b1368
stfR	b1372
tfaR	b1373
pinR	b1374
ynaE	b1375
ompL	b3875
ompN	b1377
mppA	b1329
mtfA	b1976
yeeJ	b1978
yeeL'	b4497
ykgA'	b0300
yeeN	b1983
yeeO	b1985
yeeP'	b1999
yeeR	b2001
yeeS	b2002
yeeT	b2003
cbeA	b2004
cbtA	b2005
yeeW'	b2006
yeeX	b2007
yeeY	b2015
yeeZ	b2016
yfhM	b2520
iscU	b2529
hycI	b2717
iscR	b2531
ylbE	b4572
fdrA	b0518
yecM	b1875
wzzB	b2027
ugd	b2028
slyA	b1642
slyB	b1641
csgD	b1040
csgE	b1039
csgF	b1038
csgG	b1037
csgC	b1043
gmr	b1285
hldE	b3052
ybfL'	b0705
csiE	b2535
sodC	b1646
ydhF	b1647
gloA	b1651
feaR	b1384
ybjD	b0876
ybjE	b0874
rlmC	b0859
ompG	b1319
flxA	b1566
ycfL	b1104
lpoB	b1105
thiK	b1106
nagZ	b1107
ycfP	b1108
ycfQ	b1111
bhsA	b1112
ldtC	b1113
ycfT	b1115
lolC	b1116
lolD	b1117
lolE	b1118
nagK	b1119
cobB	b1120
ycfZ	b1121
ymfA	b1122
nudJ	b1134
rluE	b1135
ymfD	b1137
ymfE	b1138
caiF	b0034
trmJ	b2532
yfhR	b2534
hcaT	b2536
hcaR	b2537
hcaE	b2538
hcaF	b2539
hcaC	b2540
hcaB	b2541
hcaD	b2542
glrK	b2556
yphA	b2543
yphB	b2544
yphC	b2545
yphD	b2546
yphE	b2547
yphF	b2548
yphG	b2549
yphH	b2550
ybiY	b0824
fsaA	b0825
gsiA	b0829
gsiB	b0830
gsiC	b0831
gsiD	b0832
yliE	b0833
yliF	b0834
rimO	b0835
bssR	b0836
yliI	b0837
gstB	b0838
ydjF	b1770
ydjG	b1771
ydjH	b1772
ydjI	b1773
ydjJ	b1774
ydjK	b1775
ydjL	b1776
yeaC	b1777
spy	b1743
yeaE	b1781
mipA	b1782
yeaG	b1783
yeaH	b1784
yeaI	b1785
yeaJ	b1786
yeaK	b1787
yeaL	b1789
yeaM	b1790
yeaN	b1791
yeaO	b1792
yeaP	b1794
yeaQ	b1795
yeaR	b1797
leuE	b1798
dmlR	b1799
dmlA	b1800
yeaV	b1801
yeaW	b1802
yeaX	b1803
yeaY	b1806
tsaB	b1807
yoaA	b1808
yoaB	b1809
yoaC	b1810
yoaD	b1815
yoaE	b1816
ypjC'	b2650
ygaQ'	b4462
csiD	b2659
ygaV	b2667
alaE	b2670
ygaY'	b2681
ygaZ	b2682
yqaA	b2689
yqaB	b2690
ybdL	b0600
ybdM	b0601
ybdN	b0602
ybdO	b0603
dsbG	b0604
ybdR	b0608
citT	b0612
citG	b0613
citX	b0614
citF	b0615
citE	b0616
citD	b0617
citB	b0620
dcuC	b0621
nemA	b1650
ivy	b0220
ykfB	b0250
yagJ'	b0276
yagK	b0277
yagL	b0278
yagM	b0279
yagN	b0280
intF	b0281
yagP'	b4694
paoD	b0283
paoC	b0284
paoB	b0285
paoA	b0286
yagU	b0287
ecpE	b0289
ecpD	b0290
ecpC	b0291
ecpB	b0292
ecpA	b0293
wza	b2062
wzb	b2061
wzc	b2060
wcaA	b2059
wcaB	b2058
wcaC	b2057
wcaD	b2056
wcaE	b2055
wcaF	b2054
wcaJ	b2047
wzxC	b2046
wcaK	b2045
wcaN	b2042
rclC	b0301
rclA	b0304
rclR	b0305
ykgE	b0306
ykgF	b0307
ykgG	b0308
ykgH	b0310
yahB	b0316
yahC	b0317
yahD	b0318
yahE	b0319
yahF	b0320
yahG	b0321
yahI	b0323
yahJ	b0324
yahK	b0325
yahL	b0326
yahM	b0327
yahN	b0328
yahO	b0329
prpR	b0330
