bigg.metabolite,bigg.reaction,distance
acon_t,fum,3.0
glcr,altrh,4.0
fe2,altrh,2.0
cu2,dhad1,2.0
no,dhad1,2.0
ac,dhqti,2.0
cl,dhqti,2.0
cu2,dhqti,2.0
tartr__d,dhqti,3.0
fe2,dhqti,2.0
succ,dhqti,2.0
zn2,dhqti,2.0
h2o2,edd,3.0
glc__d,ppbngs,3.0
xyl__d,ppbngs,3.0
cobalt2,glcrd,3.0
galct__d,glcrd,1.0
mn2,glcrd,3.0
cit,galctd,3.0
ppi,galctd,3.0
pi,galctd,2.0
ag,tdpgdh,4.0
dtdp,tdpgdh,2.0
dttp,tdpgdh,1.0
gdp,gmand,1.0
gdpfuc,gmand,2.0
4hthr,4hthrs,0.0
2pg,mgsa,2.0
3pg,mgsa,2.0
aso4,mgsa,2.0
ppi,mgsa,1.0
pi,mgsa,0.0
pep,mgsa,1.0
2dda7p,dhqs,0.0
fe2,chors,1.0
aspsa,aspt,2.0
mal__d,aspt,2.0
etoh,aspt,2.0
mal__l,aspt,1.0
meoh,aspt,3.0
na1,aspt,2.0
pser__l,aspt,2.0
2pglyc,aspt,2.0
succ,aspt,1.0
appl,ethaal,2.0
urea,ethaal,2.0
ala__l,serd_d,1.0
23dappa,serd_d,1.0
gly,serd_d,1.0
ser__l,serd_d,1.0
ile__l,serd_l,1.0
pyr,serd_l,0.0
cys__l,cysds,0.0
cys__l,cysdds,1.0
zn2,cysdds,1.0
adp,adncyc,1.0
atp,adncyc,0.0
ca2,adncyc,1.0
cobalt2,adncyc,1.0
ppi,adncyc,0.0
gtp,adncyc,1.0
pydx5p,adncyc,1.0
zn2,adncyc,1.0
dtdpglu,udpg4e,2.0
nadh,udpg4e,1.0
gcald,rbp4e,3.0
adp,agmhe,1.0
adpglc,agmhe,2.0
atp,agmhe,1.0
nadh,agmhe,2.0
2pglyc,tpi,2.0
cd2,fci,2.0
mn2,arai,2.0
glc__d,xyli1,2.0
6pgc,rpi,1.0
amp,rpi,1.0
ara5p,rpi,1.0
f6p,rpi,2.0
pi,rpi,1.0
mnl1p,man6pi,1.0
6pgc,pgi,2.0
cu2,gui1,2.0
cys__l,gui1,2.0
zn2,gui1,2.0
cd2,a5piso,2.0
cobalt2,a5piso,2.0
cu2,a5piso,2.0
4per,a5piso,3.0
hg2,a5piso,2.0
mn2,a5piso,2.0
ni2,a5piso,2.0
zn2,a5piso,2.0
2cpr5p,praii,0.0
ca2,ppm2,2.0
cd2,ppm2,2.0
cu2,ppm2,2.0
fe3,ppm2,2.0
pi,ppm2,1.0
so4,ppm2,2.0
zn2,ppm2,2.0
ca2,pgamt,2.0
mn2,pgamt,2.0
zn2,pgamt,2.0
phe__l,chorm,1.0
tyr__l,chorm,1.0
pphn,chorm,0.0
amp,tyrtrs,0.0
cl,tyrtrs,1.0
ppi,tyrtrs,0.0
so4,tyrtrs,1.0
h2o2,thrtrs,2.0
zn2,thrtrs,1.0
datp,leutrs,1.0
adn,leutrs,1.0
adp,leutrs,1.0
amp,leutrs,0.0
itp,leutrs,1.0
ppi,iletrs,0.0
15dap,lystrs,1.0
mg2,lystrs,1.0
orn,lystrs,1.0
zn2,lystrs,1.0
urea,alatrs,2.0
adn,mettrs,1.0
ppi,sertrs,0.0
cys__l,cystrs,0.0
atp,argtrs,0.0
citr__l,argtrs,1.0
orn,argtrs,1.0
zn2,phetrs,1.0
ppi,histrs,0.0
histd,histrs,1.0
mg2,histrs,1.0
akg,sucoas,1.0
adp,sucoas,0.0
atp,sucoas,0.0
nadh,sucoas,1.0
succ,sucoas,0.0
fe2,sucbzl,1.0
hg2,sucbzl,1.0
mg2,sucbzl,1.0
asp__l,asns2,0.0
amp,glns,1.0
ctp,glns,1.0
gam6p,glns,1.0
gly,glns,1.0
his__l,glns,1.0
metsox_s__l,glns,1.0
ser__l,glns,1.0
trp__l,glns,1.0
adn,nads1,1.0
mg2,nads1,1.0
mn2,nads1,1.0
23dappa,pants,2.0
3hpp,pants,2.0
4abut,pants,2.0
ag,pants,3.0
amp,pants,0.0
asp__l,pants,1.0
ca2,pants,1.0
cobalt2,pants,1.0
cu2,pants,1.0
cys__l,pants,1.0
ppi,pants,0.0
fe2,pants,1.0
glcn,pants,1.0
glyclt,pants,2.0
hg2,pants,1.0
ala__l,pants,1.0
val__l,pants,1.0
mg2,pants,1.0
mn2,pants,1.0
ni2,pants,1.0
pnto__r,pants,0.0
taur,pants,1.0
zn2,pants,1.0
hg2,glucys,1.0
indole,alaalar,2.0
alaala,alaalar,0.0
gly,alaalar,1.0
imp,prascsi,1.0
adp,uamas,0.0
gly,uamas,1.0
cys__l,uamas,1.0
lac__l,uamas,2.0
ser__l,uamas,1.0
uama,uamas,0.0
glu__l,uamags,1.0
uamag,uamags,0.0
but,uaagds,2.0
dhf,dhfs,0.0
dhpt,dhfs,0.0
adp,prais,0.0
pi,prais,0.0
ade,dbts,1.0
adp,dbts,0.0
amp,dbts,1.0
dtbt,dbts,0.0
dgsn,ctps2,1.0
ade,ctps2,1.0
adn,ctps2,1.0
cobalt2,ctps2,1.0
ctp,ctps2,0.0
cu2,ctps2,1.0
1pyr5c,ctps2,1.0
gdp,ctps2,1.0
gmp,ctps2,1.0
gsn,ctps2,1.0
ins,ctps2,1.0
mn2,ctps2,1.0
ni2,ctps2,1.0
so4,ctps2,1.0
ura,ctps2,1.0
urate,ctps2,2.0
uri,ctps2,1.0
xan,ctps2,1.0
xtsn,ctps2,1.0
zn2,ctps2,1.0
fum,adss,1.0
gdp,adss,0.0
ppgpp,adss,1.0
imp,adss,0.0
no3,adss,2.0
succ,adss,1.0
ribflv,airc2,1.0
dad_2,gmps2,2.0
adn,gmps2,1.0
adp,gmps2,1.0
ppi,gmps2,0.0
gmp,gmps2,0.0
xmp,gmps2,0.0
glu__l,prfgs,0.0
asn__l,asns1,0.0
asp__l,asns1,0.0
ppi,asns1,0.0
h2o2,cbps,2.0
ap5a,cbps,1.0
udp,cbps,1.0
ump,cbps,1.0
urea,cbps,2.0
utp,cbps,1.0
glu__l,glntrs,1.0
glu5sa,ctps2,1.0
10fthf,mthfd,1.0
10fthf,mthfc,0.0
2ddg6p,glcral,1.0
3mob,valta,0.0
akg,pthrpp,3.0
2obut,ldh_d,1.0
pser__l,orndc,2.0
pppn,phetrs,2.0
3sala,asns1,2.0
4ppan,ppncl2,0.0
phthr,4hthrs,0.0
5mthf,dhfs,1.0
pram,pragsr,0.0
air,prais,0.0
ac,cyanst,2.0
ac,glcral,1.0
accoa,cs,0.0
accoa,3oar100,1.0
accoa,ppc,1.0
accoa,me2,1.0
actp,me2,2.0
ahcys,aconmt,0.0
adp,glcs1,0.0
adp,pthrpp,1.0
adp,nads1,1.0
adp,pta2,1.0
adp,ndpk1,0.0
adp,asnn,1.0
adp,gsnk,0.0
ag,fum,4.0
ag,asnn,3.0
amp,acs,0.0
amp,prpps,0.0
amp,argtrs,0.0
amp,pydamk,1.0
amp,asns2,0.0
amp,dasyn120,1.0
amp,fmnrx2,1.0
amp,pthrpp,2.0
amp,nads1,0.0
amp,dgk1,1.0
amp,pyk,1.0
amp,asnn,1.0
anth,igps,2.0
aso4,piuabcpp,2.0
asn__l,asnn,0.0
asn__l,asns2,0.0
atp,pthrpp,1.0
atp,gsnk,0.0
atp,ntp12,1.0
atp,cs,1.0
atp,gdptpdp,1.0
atp,3kgk,0.0
atp,pyk,0.0
atp,pta2,1.0
atp,asnn,1.0
atp,hsdy,1.0
ala_b,pragsr,1.0
lipidads,moat2,2.0
lipidads,moat,1.0
ca2,admdc,1.0
ca2,ppck,1.0
ca2,ppa2,1.0
ca2,3oar100,1.0
ca2,glycdx,1.0
ca2,ppa,1.0
ca2,gmand,2.0
ca2,manao,1.0
ca2,mcitl2,2.0
ca2,asnn,1.0
ca2,bpnt,1.0
camp,me2,2.0
cbp,glns,1.0
cd2,acoda,2.0
cd2,thrd,2.0
cd2,fum,3.0
cd2,gals3,2.0
cdp,ppc,1.0
acon_c,icl,1.0
cit,aspt,2.0
cit,chorm,2.0
cl,ghmt2r,1.0
cl,fhl,2.0
cl,glcral,2.0
cmp,kdoct2,1.0
cmp,ppc,1.0
cmp,gsnk,1.0
cobalt2,admdc,1.0
cobalt2,ntd10,1.0
cobalt2,udpgalppp,3.0
cobalt2,23pde2pp,3.0
cobalt2,thdps,1.0
cobalt2,argsl,1.0
cobalt2,acoda,2.0
cobalt2,kdopp,1.0
cobalt2,3ntd2pp,2.0
coa,3oar100,1.0
coa,g3pat120,1.0
coa,gnd,1.0
cyan,cat,3.0
cyan,spodm,3.0
cyan,selcyss,2.0
6pgc,ddpgala,2.0
mal__d,dogulnr,1.0
cynt,hco3e,1.0
cynt,cbps,1.0
uama,uaagds,1.0
ctp,dxylk,1.0
cu2,asnn,1.0
cu2,23pde2pp,3.0
cu2,thdps,1.0
cu2,thrd,1.0
cu2,glxcl,2.0
cu2,alltn,2.0
cu2,3ntd2pp,2.0
cys__l,argabcpp,1.0
altrn,mnnh,1.0
cys__d,argabcpp,1.0
cys__d,cysdds,0.0
galct__d,glcral,1.0
glu__d,gludy,1.0
glcr,glcral,1.0
tagur,mnnh,2.0
damp,ntpp1,1.0
datp,tyrtrs,1.0
dcdp,rndr1,1.0
3dhq,dhqti,0.0
dtbt,accoac,1.0
dgtp,dgk1,1.0
dhap,g3pat120,1.0
dhap,mgsa,0.0
dtdprmn,g1ptt,2.0
dutp,dctpd,0.0
fad,fmnrx2,1.0
fe2,admdc,1.0
fe2,mnnh,2.0
fe2,acota,1.0
fe2,ppm2,2.0
fe3,admdc,1.0
fdp,pfk,0.0
fum,me2,1.0
fum,asp1dc,1.0
3pg,pthrpp,2.0
g3p,ddpgala,0.0
gdp,orndc,2.0
gdp,ntptp1,2.0
gdp,dgk1,1.0
gdp,ndpk1,0.0
gdp,gtpci,1.0
gdptp,orndc,2.0
gln__l,gludy,1.0
glu__l,me2,1.0
glu__l,asnn,1.0
glu__l,gf6pta,0.0
glcn,mnnh,2.0
glyald,betaldhx,1.0
glyc,glyk,0.0
glyclt,mals,1.0
gmp,adpt,1.0
gmp,gsnk,0.0
gtp,orndc,1.0
gtp,pyk,1.0
gtp,ntp12,1.0
gtp,dgk1,1.0
gtp,ndpk1,0.0
gsn,dgk1,1.0
ppgpp,orndc,2.0
ppgpp,upprt,1.0
ppgpp,gdpdpk,0.0
ppgpp,gtpdpdp,0.0
cyan,trdr,2.0
cyan,nodox,2.0
hg2,rmpa,2.0
hg2,icl,2.0
hg2,asnn,2.0
hg2,fum,3.0
hg2,thrd,2.0
hg2,abta,2.0
hg2,glxcl,3.0
his__l,histp,1.0
histd,histp,0.0
iasp,aspo6,0.0
imp,mthfd,1.0
imp,dgk1,1.0
k,nadh16pp,1.0
k,gtpci,1.0
k,uacmamo,1.0
k,pfk,1.0
k,fba,2.0
k,betaldhx,1.0
k,cs,1.0
k,tmpk,1.0
k,tre6ps,2.0
k,impd,1.0
k,me2,1.0
k,glxcl,2.0
k,tmk,1.0
k,dgk1,1.0
k,gtpdpdp,1.0
k,uapgr,1.0
k,uaagds,1.0
k,hsdy,1.0
k,nmnat,1.0
kdo,glcral,2.0
kdo8p,kdops,0.0
kdo2lipid4,moat2,0.0
kdo2lipid4,moat,1.0
ala__l,ddpa,1.0
ala__l,glns,1.0
asp__l,me2,1.0
asp__l,asnn,0.0
cyst__l,argabcpp,2.0
glu5sa,gf6pta,2.0
ddcacoa,edtxs1,2.0
leu__l,ipps,1.0
leu__l,valta,1.0
leu__l,aspk,1.0
lys__l,hsk,1.0
mal__l,ppc,1.0
26dap__m,argabcpp,1.0
met__l,mets,0.0
mg2,mddcp1pp,1.0
mg2,adk1,1.0
mg2,ppa2,1.0
mg2,3oar100,1.0
mg2,gnd,1.0
mg2,gmand,2.0
mg2,manao,1.0
mg2,prpps,1.0
mg2,asnn,1.0
mn2,admdc,1.0
mn2,thrd,1.0
mn2,mnnh,2.0
mn2,manao,1.0
mn2,asnn,1.0
mn2,altrh,2.0
na1,glxcl,2.0
na1,gtpdpdp,2.0
nad,nadh16pp,0.0
nad,gals3,2.0
nad,cs,1.0
nad,acald,0.0
nad,aspo6,1.0
nad,dhqs,1.0
nad,asnn,1.0
nad,manao,0.0
nadh,me2,1.0
nadh,pta2,1.0
nadh,asnn,1.0
nadh,lcadi,0.0
nadp,me2,0.0
nadp,fmnrx2,0.0
nadp,gnd,0.0
nadp,dpr,0.0
nadp,sulri,0.0
nadp,asnn,1.0
nadp,p5cr,0.0
nadp,kara1,0.0
nadph,pthrpp,2.0
nadph,pta2,1.0
nadph,asnn,1.0
nadph,gthor,0.0
ni2,amptasecg,1.0
ni2,gals3,2.0
ni2,thrd,1.0
ni2,argsl,1.0
no3,glcp2,2.0
no3,glcral,2.0
hpyr,acnml,2.0
oaa,icdhyr,1.0
oaa,pthrpp,2.0
oaa,me2,1.0
oxa,pps,2.0
oxa,asp1dc,3.0
gthox,gthor,0.0
pppi,asnn,2.0
paps,adsk,0.0
pep,pgi,1.0
pep,pta2,1.0
pep,ppck,0.0
pep,pthrpp,2.0
ppi,acs,0.0
ppi,argtrs,0.0
ppi,ntpp1,0.0
ppi,aspt,1.0
ppi,ndpk1,1.0
ppi,g1ptt,0.0
ppi,asnn,1.0
ppi,glgc,0.0
ppa,acs,1.0
ppcoa,cs,1.0
ptrc,lysdc,1.0
ptrc,orndc,0.0
ptrc,argdc,1.0
pydx,pydamk,1.0
pydx5p,pydamk,1.0
pydx5p,pscvt,1.0
pydx5p,gf6pta,1.0
pydx5p,e4pd,1.0
pyr,ldh_d,0.0
pyr,pthrpp,2.0
ru5p__d,gnd,0.0
ser__l,psp_l,0.0
spmd,lysdc,1.0
spmd,admdc,1.0
spmd,g3pat120,2.0
spmd,orndc,1.0
succ,asp1dc,1.0
succoa,pyk,1.0
so4,cyanst,2.0
o2s,tkt1,3.0
o2s,fum,2.0
tartr__l,glcrd,3.0
tartr__l,dogulnr,2.0
thf,mets,0.0
thmpp,ntp12,1.0
dtmp,gsnk,1.0
tungs,fum,2.0
tyr__l,valta,1.0
udp,uaagds,1.0
ugmd,uaagds,0.0
uacgam,uaagds,1.0
uamr,uaagds,1.0
ump,gsnk,1.0
utp,dxylk,1.0
xtp,gtpcii2,1.0
zn2,betaldhx,1.0
zn2,igpdh,2.0
zn2,admdc,1.0
zn2,fum,2.0
zn2,nadh16pp,1.0
zn2,ap4as,1.0
zn2,gals3,2.0
zn2,amptasecg,1.0
zn2,ocbt,1.0
zn2,thdps,1.0
zn2,argsl,1.0
zn2,manao,1.0
zn2,adss,1.0
zn2,3ntd2pp,2.0
