,bigg.reaction,bigg.metabolite,Value
206,glgc,2dr5p_c,1
207,glgc,2obut_c,1
208,glgc,3pg_c,3
209,glgc,adp_c,1
210,glgc,amp_c,-12
211,glgc,f6p_c,3
212,glgc,fdp_c,6
213,glgc,g3p_c,1
214,glgc,g6p_c,2
215,glgc,hpyr_c,1
216,glgc,nadph_c,1
217,glgc,pep_c,2
218,glgc,pydx5p_c,3
219,glgc,pyr_c,1
220,glgc,r5p_c,1
221,glgc,s17bp_c,1
222,glns,glyb_c,1
223,glns,inost_c,1
224,glu5k,adp_c,-1
225,glucys,gthrd_c,-2
226,gludc,cl_c,1
227,gludy,amp_c,1
228,gludy,atp_c,1
229,gludy,utp_c,1
230,gluprt,amp_c,-1
231,gluprt,prpp_c,1
232,glycdx,k_c,1
233,glycdx,nh4_c,1
234,glycdx,so4_c,1
235,gmand,nadph_c,1
236,gmps2,gmp_c,-1
237,gtpdpk,etoh_c,1
238,guaprt,ac_c,1
239,hmpk1,4ahmmp_c,-1
240,hmpk1,pydxn_c,-1
241,hsk,nh4_c,1
242,hxprt,ac_c,1
243,icdhyr,pep_c,-1
244,icl,pep_c,-1
245,iletrs,spmd_c,2
246,impd,gmp_c,-1
247,impd,gthrd_c,1
248,insk,k_c,1
249,insk,mg2_c,1
250,kara1,nadph_c,-5
251,kara2,nadph_c,-5
252,kas14,pi_c,1
253,kdoct2,gthrd_c,1
254,lacz,gal_c,-6
255,lcadi,gcald_c,-3
256,lcadi,glyclt_c,-3
257,lcadi,pydx5p_c,1
258,lcadi,pydx_c,1
259,lcadi,pydxn_c,0
260,lysdc,ppgpp_c,-3
261,mcitd,ppa_c,1
262,metat,amet_c,1
263,mets,amet_c,2
264,mets,k_c,1
265,mets,na1_c,1
266,mets,nh4_c,1
267,mgsa,2pglyc_c,0
268,mgsa,pi_c,-1
269,mthfr2,mlthf_c,-3
270,mthfr2,nadh_c,-1
271,no3r1bpp,cyan_c,-1
272,no3r1pp,cyan_c,-1
273,no3r2bpp,cyan_c,-1
274,ntd1,adp_c,-1
275,ntd1,amp_c,-2
276,ntd1,atp_c,-2
277,ntd1,datp_c,-1
278,ntd10,adp_c,-1
279,ntd10,amp_c,-2
280,ntd10,atp_c,-2
281,ntd10,datp_c,-1
282,ntd10pp,adp_c,-1
283,ntd10pp,amp_c,-2
284,ntd10pp,atp_c,-2
285,ntd10pp,datp_c,-1
286,ntd11,adp_c,-1
287,ntd11,amp_c,-2
288,ntd11,atp_c,-2
289,ntd11,datp_c,-1
290,ntd11pp,adp_c,-1
291,ntd11pp,amp_c,-2
292,ntd11pp,atp_c,-2
293,ntd11pp,datp_c,-1
294,ntd12,adp_c,-1
295,ntd12,amp_c,-2
