,bigg.metabolite,kegg.compound
1078,fum_e,C00122
1079,g1p_e,C00103
1080,g3pc_e,C00670
1081,g3pe_e,C00350
1082,g3pe_e,C01233
1083,g3pg_e,C03274
1084,g3pi_e,C01225
1085,g6p_e,C00092
1086,g6p_e,C01172
1087,gal_e,C00124
1088,gal_bD_e,C01582
1089,gal1p_e,C00446
1090,gal1p_e,C03384
1091,galct__D_e,C00879
1092,galctn__D_e,C00880
1093,galt_e,C01697
1094,galur_e,C00333
1095,galur_e,C08348
1096,gam_e,C00329
1097,gam6p_e,C00352
1098,gbbtn_e,C01181
1099,gdp_e,C00035
1100,glc__D_e,C00031
1101,glcn_e,C00257
1102,glcr_e,C00818
1103,glcur_e,C00191
1104,glcur1p_e,C05385
1105,gln__L_e,C00064
1106,glu__L_e,C00025
1107,gly_e,C00037
1108,glyald_e,C00577
1109,glyb_e,C00719
1110,glyc_e,C00116
1111,glyc__R_e,C00258
1112,glyc2p_e,C02979
1113,glyc3p_e,C00093
1114,glyc3p_e,C00344
1115,glyclt_e,C00160
1116,gmp_e,C00144
1117,gsn_e,C00387
1118,gthox_e,C00127
1119,gthrd_e,C00051
1120,gtp_e,C00044
1121,gua_e,C00242
1122,h_e,C00080
1123,h2_e,C00282
1124,h2o_e,C00001
1125,h2o_e,C01328
1126,h2o_e,C18712
1127,h2o_e,C18714
1128,h2o2_e,C00027
1129,h2o2_e,C17732
1130,h2o2_e,C18566
1131,h2s_e,C00283
1132,h2s_e,C00297
1133,h2s_e,C20391
1134,hdca_e,C00249
1135,hdcea_e,C08362
1136,hg2_e,C00703
1137,hg2_e,C13377
1138,hg2_e,C18670
1139,his__L_e,C00135
1140,hom__L_e,C00263
1141,hxa_e,C01585
1142,hxan_e,C00262
1143,idon__L_e,C00770
1144,ile__L_e,C00407
1145,imp_e,C00130
1146,indole_e,C00463
1147,inost_e,C00137
1148,inost_e,C06151
1149,ins_e,C00294
1150,isetac_e,C05123
1151,k_e,C00238
1152,k_e,C08219
1153,k_e,C12568
1154,kdo2lipid4_e,C06025
1155,lac__D_e,C00256
1156,lac__L_e,C00186
1157,lcts_e,C00243
1158,leu__L_e,C00123
1159,lipa_e,C06026
1160,lipoate_e,C00725
1161,lipoate_e,C16241
1162,lys__L_e,C00047
1163,lyx__L_e,C01508
1164,mal__D_e,C00497
1165,mal__L_e,C00149
1166,malt_e,C00208
1167,malthx_e,C01936
1168,malttr_e,C01835
1169,malttr_e,C06219
1170,maltttr_e,C02052
1171,man_e,C00159
1172,man6p_e,C00275
1173,manglyc_e,C11544
1174,melib_e,C05402
1175,meoh_e,C00132
1176,met__D_e,C00855
1177,met__L_e,C00073
1178,metsox_R__L_e,C15998
1179,metsox_S__L_e,C02989
1180,mg2_e,C00305
1181,mg2_e,C07755
1182,mg2_e,C07876
1183,mg2_e,C12567
1184,minohp_e,C01204
1185,mmet_e,C03172
1186,mmet_e,C04078
1187,mn2_e,C00034
1188,mnl_e,C00392
1189,mobd_e,C06232
1190,mso3_e,C11145
1191,n2o_e,C00887
1192,na1_e,C01330
1193,na1_e,C08142
1194,na1_e,C14042
1195,nac_e,C00253
1196,nh4_e,C00014
1197,nh4_e,C01342
1198,nh4_e,C01358
1199,ni2_e,C00291
1200,nmn_e,C00455
1201,no_e,C00533
1202,no2_e,C00088
1203,no3_e,C00244
1204,o2_e,C00007
1205,o2s_e,C00704
1206,ocdca_e,C01530
1207,ocdcea_e,C00638
1208,ocdcea_e,C00712
1209,ocdcea_e,C01712
1210,octa_e,C06423
1211,orn_e,C01602
1212,orot_e,C00295
1213,pacald_e,C00601
1214,peamn_e,C05332
1215,phe__L_e,C00079
1216,pheme_e,C00032
1217,pi_e,C00009
1218,pi_e,C13556
1219,pi_e,C13558
1220,pnto__R_e,C00864
1221,ppa_e,C00163
1222,ppal_e,C00479
1223,pppn_e,C05629
1224,ppt_e,C06701
1225,pro__L_e,C00148
1226,pser__L_e,C01005
1227,ptrc_e,C00134
1228,pydam_e,C00534
1229,pydx_e,C00250
1230,pydxn_e,C00314
1231,pyr_e,C00022
1232,r5p_e,C00117
1233,r5p_e,C03736
1234,rib__D_e,C00121
1235,rmn_e,C00507
1236,sbt__D_e,C00794
1237,sel_e,C05697
1238,ser__D_e,C00740
1239,ser__L_e,C00065
1240,skm_e,C00493
1241,so2_e,C09306
1242,so3_e,C00094
1243,so3_e,C11481
1244,so3_e,C20393
1245,so4_e,C00059
1246,so4_e,C13192
1247,so4_e,C13194
1248,so4_e,C13199
1249,so4_e,C17383
1250,so4_e,C18713
1251,so4_e,C20392
1252,spmd_e,C00315
1253,succ_e,C00042
1254,sucr_e,C00089
1255,sucr_e,C11477
1256,sulfac_e,C14179
1257,tartr__L_e,C00898
1258,taur_e,C00245
1259,tcynt_e,C01755
1260,thm_e,C00378
1261,thr__L_e,C00188
1262,thrp_e,C12147
1263,thym_e,C00178
1264,thymd_e,C00214
1265,tma_e,C00565
1266,tmao_e,C01104
1267,tre_e,C01083
1268,trp__L_e,C00078
1269,tsul_e,C00320
1270,tsul_e,C05529
1271,ttdca_e,C06424
1272,tym_e,C00483
1273,tyr__L_e,C00082
1274,tyrp_e,C06501
1275,uacgam_e,C00043
1276,udpacgal_e,C00203
1277,udpg_e,C00029
1278,udpgal_e,C00052
1279,udpglcur_e,C00167
1280,ump_e,C00105
1281,ura_e,C00106
1282,urea_e,C00086
1283,uri_e,C00299
1284,uri_e,C16745
1285,val__L_e,C00183
1286,xan_e,C00385
1287,xmp_e,C00655
1288,xtsn_e,C01762
1289,xyl__D_e,C00181
1290,xylu__L_e,C00312
1291,zn2_e,C00038
1292,zn2_e,C12570
1293,12dgr120_p,C00641
1294,12dgr140_p,C00641
1295,12dgr141_p,C00641
1296,12dgr160_p,C00641
1297,12dgr161_p,C00641
1298,12dgr180_p,C00641
1299,12dgr181_p,C00641
1300,12ppd__R_p,C02912
1301,12ppd__S_p,C02917
1302,15dap_p,C01672
1303,1agpe120_p,C04438
1304,1agpe140_p,C04438
1305,1agpe141_p,C04438
1306,1agpe160_p,C04438
1307,1agpe161_p,C04438
1308,1agpe180_p,C04438
1309,1agpe181_p,C04438
1310,1ddecg3p_p,C00681
1311,1hdecg3p_p,C00681
1312,1odecg3p_p,C00681
1313,1tdec7eg3p_p,C00681
1314,1tdecg3p_p,C00681
1315,23camp_p,C02353
1316,23ccmp_p,C02354
1317,23cgmp_p,C06194
1318,23cump_p,C02355
1319,23dappa_p,C03401
1320,23dappa_p,C06393
1321,26dap__M_p,C00680
1322,2agpe120_p,C05973
1323,2agpe140_p,C05973
1324,2agpe141_p,C05973
1325,2agpe160_p,C05973
1326,2agpe161_p,C05973
1327,2agpe180_p,C05973
1328,2agpe181_p,C05973
1329,2ddecg3p_p,C03974
1330,2ddglcn_p,C00204
1331,2hdec9eg3p_p,C03974
1332,2hdecg3p_p,C03974
1333,2odec11eg3p_p,C03974
1334,2odecg3p_p,C03974
1335,2tdec7eg3p_p,C03974
1336,2tdecg3p_p,C03974
1337,34dhpac_p,C04043
1338,3amp_p,C01367
1339,3cmp_p,C05822
1340,3gmp_p,C06193
1341,3hcinnm_p,C12621
1342,3hpp_p,C01013
1343,3hpppn_p,C11457
1344,3ump_p,C01368
1345,4abut_p,C00334
1346,4hoxpacd_p,C03765
1347,5dglcn_p,C01062
1348,5mtr_p,C03089
1349,ac_p,C00033
1350,acac_p,C00164
1351,acald_p,C00084
1352,acgal_p,C01132
1353,acgal1p_p,C18060
1354,acgam_p,C00140
1355,acgam1p_p,C04256
1356,acmana_p,C00645
1357,acmum_p,C02713
1358,acnam_p,C00270
1359,acser_p,C00979
1360,ade_p,C00147
1361,adn_p,C00212
1362,adn_p,C07195
1363,adocbl_p,C00194
1364,agm_p,C00179
1365,akg_p,C00026
1366,ala_B_p,C00099
1367,ala__D_p,C00133
1368,ala__L_p,C00041
1369,alaala_p,C00993
1370,all__D_p,C01487
1371,alltn_p,C01551
1372,alltn_p,C02348
1373,alltn_p,C02350
1374,alpp_p,C01834
1375,amp_p,C00020
1376,arab__L_p,C00259
1377,arg__L_p,C00062
1378,ascb__L_p,C00072
1379,asn__L_p,C00152
1380,aso3_p,C06697
1381,asp__L_p,C00049
1382,btn_p,C00120
1383,but_p,C00246
1384,ca2_p,C00076
1385,ca2_p,C08130
1386,ca2_p,C12277
1387,ca2_p,C13140
1388,ca2_p,C13189
1389,ca2_p,C18381
1390,cbi_p,C05774
1391,cbl1_p,C00853
1392,cd2_p,C01413
1393,cgly_p,C01419
1394,chol_p,C00114
1395,cit_p,C00158
1396,cit_p,C12649
1397,cit_p,C13660
1398,cl_p,C00115
1399,cl_p,C00698
1400,cl_p,C01327
1401,clpn120_p,C05980
1402,clpn140_p,C05980
1403,clpn141_p,C05980
1404,clpn160_p,C05980
1405,clpn161_p,C05980
1406,clpn180_p,C05980
1407,clpn181_p,C05980
1408,cmp_p,C00055
1409,co2_p,C00011
1410,cobalt2_p,C00175
1411,crn_p,C00318
1412,crn_p,C00487
1413,crn__D_p,C00487
1414,csn_p,C00380
1415,ctbt_p,C04114
1416,cu2_p,C00070
1417,cyan_p,C00177
1418,cyan_p,C01326
1419,cynt_p,C01417
1420,cys__D_p,C00793
1421,cys__L_p,C00097
1422,cytd_p,C00475
1423,dad_2_p,C00559
1424,damp_p,C00360
1425,dca_p,C01571
1426,dcmp_p,C00239
1427,dcyt_p,C00881
1428,ddca_p,C02679
1429,dgmp_p,C00362
1430,dgsn_p,C00330
1431,dha_p,C00184
1432,dimp_p,C06196
1433,din_p,C05512
1434,dms_p,C00580
1435,dmso_p,C11143
1436,dopa_p,C03758
1437,dtmp_p,C00364
1438,dump_p,C00365
1439,duri_p,C00526
1440,enter_p,C05821
1441,enter_p,C06230
1442,etha_p,C00189
1443,etoh_p,C00469
1444,f6p_p,C00085
1445,f6p_p,C05345
1446,fald_p,C00067
1447,fe2_p,C00023
1448,fe2_p,C14818
1449,fe3_p,C14819
1450,fe3dcit_p,C06229
1451,fe3hox_p,C06227
1452,fecrm_p,C06228
1453,feenter_p,C06230
1454,feoxam_p,C07597
1455,for_p,C00058
1456,fru_p,C00095
1457,fru_p,C02336
1458,frulys_p,C16488
1459,fruur_p,C00905
1460,fuc__L_p,C01019
1461,fum_p,C00122
1462,g1p_p,C00103
1463,g3pc_p,C00670
1464,g3pe_p,C00350
1465,g3pe_p,C01233
1466,g3pg_p,C03274
1467,g3pi_p,C01225
1468,g6p_p,C00092
1469,g6p_p,C01172
1470,gal_p,C00124
1471,gal_bD_p,C01582
1472,gal1p_p,C00446
1473,gal1p_p,C03384
1474,galct__D_p,C00879
1475,galctn__D_p,C00880
1476,galt_p,C01697
1477,galur_p,C00333
1478,galur_p,C08348
1479,gam_p,C00329
1480,gam6p_p,C00352
1481,gbbtn_p,C01181
1482,gdp_p,C00035
1483,glc__D_p,C00031
1484,glcn_p,C00257
1485,glcr_p,C00818
1486,glcur_p,C00191
1487,glcur1p_p,C05385
1488,gln__L_p,C00064
1489,glu__L_p,C00025
1490,gly_p,C00037
1491,glyald_p,C00577
1492,glyb_p,C00719
1493,glyc_p,C00116
1494,glyc__R_p,C00258
1495,glyc2p_p,C02979
1496,glyc3p_p,C00093
1497,glyc3p_p,C00344
1498,glyclt_p,C00160
1499,gmp_p,C00144
1500,gsn_p,C00387
1501,gthox_p,C00127
1502,gthrd_p,C00051
1503,gtp_p,C00044
1504,gua_p,C00242
1505,h_p,C00080
1506,h2_p,C00282
1507,h2o_p,C00001
1508,h2o_p,C01328
1509,h2o_p,C18712
1510,h2o_p,C18714
1511,h2o2_p,C00027
1512,h2o2_p,C17732
1513,h2o2_p,C18566
1514,h2s_p,C00283
1515,h2s_p,C00297
1516,h2s_p,C20391
1517,hdca_p,C00249
1518,hdcea_p,C08362
1519,hg2_p,C00703
1520,hg2_p,C13377
1521,hg2_p,C18670
1522,his__L_p,C00135
1523,hom__L_p,C00263
1524,hxa_p,C01585
1525,hxan_p,C00262
1526,idon__L_p,C00770
1527,ile__L_p,C00407
1528,imp_p,C00130
1529,indole_p,C00463
1530,inost_p,C00137
1531,inost_p,C06151
1532,ins_p,C00294
1533,isetac_p,C05123
1534,k_p,C00238
1535,k_p,C08219
1536,k_p,C12568
1537,kdo2lipid4_p,C06025
1538,lac__D_p,C00256
1539,lac__L_p,C00186
1540,lcts_p,C00243
1541,leu__L_p,C00123
1542,lipa_p,C06026
1543,lipoate_p,C00725
1544,lipoate_p,C16241
1545,lpp_p,C01834
1546,lys__L_p,C00047
1547,lyx__L_p,C01508
1548,mal__D_p,C00497
1549,mal__L_p,C00149
1550,malt_p,C00208
1551,malthx_p,C01936
1552,malttr_p,C01835
1553,malttr_p,C06219
1554,maltttr_p,C02052
1555,man_p,C00159
1556,man6p_p,C00275
1557,manglyc_p,C11544
1558,melib_p,C05402
1559,meoh_p,C00132
1560,met__D_p,C00855
1561,met__L_p,C00073
1562,metsox_R__L_p,C15998
1563,metsox_S__L_p,C02989
1564,mg2_p,C00305
1565,mg2_p,C07755
1566,mg2_p,C07876
1567,mg2_p,C12567
1568,minohp_p,C01204
1569,mmet_p,C03172
1570,mmet_p,C04078
1571,mn2_p,C00034
1572,mnl_p,C00392
1573,mobd_p,C06232
1574,mso3_p,C11145
1575,n2o_p,C00887
1576,na1_p,C01330
1577,na1_p,C08142
1578,na1_p,C14042
1579,nac_p,C00253
1580,nh4_p,C00014
1581,nh4_p,C01342
1582,nh4_p,C01358
1583,ni2_p,C00291
1584,nmn_p,C00455
1585,no_p,C00533
1586,no2_p,C00088
1587,no3_p,C00244
1588,o2_p,C00007
1589,o2s_p,C00704
1590,ocdca_p,C01530
1591,ocdcea_p,C00638
1592,ocdcea_p,C00712
1593,ocdcea_p,C01712
1594,octa_p,C06423
1595,orn_p,C01602
1596,orot_p,C00295
1597,pa120_p,C00416
1598,pa140_p,C00416
1599,pa141_p,C00416
1600,pa160_p,C00416
1601,pa161_p,C00416
1602,pa180_p,C00416
1603,pa181_p,C00416
1604,pacald_p,C00601
1605,pe120_p,C00350
1606,pe140_p,C00350
1607,pe141_p,C00350
1608,pe160_p,C00350
1609,pe161_p,C00350
1610,pe180_p,C00350
1611,pe181_p,C00350
1612,peamn_p,C05332
1613,pg120_p,C00344
1614,pg140_p,C00344
1615,pg141_p,C00344
1616,pg160_p,C00344
1617,pg161_p,C00344
1618,pg180_p,C00344
1619,pg181_p,C00344
1620,pgp120_p,C03892
1621,pgp140_p,C03892
1622,pgp141_p,C03892
1623,pgp160_p,C03892
1624,pgp161_p,C03892
1625,pgp180_p,C03892
1626,pgp181_p,C03892
1627,phe__L_p,C00079
1628,pheme_p,C00032
1629,pi_p,C00009
1630,pi_p,C13556
1631,pi_p,C13558
1632,pnto__R_p,C00864
1633,ppa_p,C00163
1634,ppal_p,C00479
1635,pppn_p,C05629
1636,ppt_p,C06701
1637,pro__L_p,C00148
1638,pser__L_p,C01005
1639,ptrc_p,C00134
1640,pydam_p,C00534
1641,pydx_p,C00250
1642,pydxn_p,C00314
1643,pyr_p,C00022
1644,r5p_p,C00117
1645,r5p_p,C03736
1646,rib__D_p,C00121
1647,rmn_p,C00507
1648,sbt__D_p,C00794
1649,sel_p,C05697
1650,ser__D_p,C00740
1651,ser__L_p,C00065
1652,skm_p,C00493
1653,so2_p,C09306
1654,so3_p,C00094
1655,so3_p,C11481
1656,so3_p,C20393
1657,so4_p,C00059
1658,so4_p,C13192
1659,so4_p,C13194
1660,so4_p,C13199
1661,so4_p,C17383
1662,so4_p,C18713
1663,so4_p,C20392
1664,spmd_p,C00315
1665,succ_p,C00042
1666,sucr_p,C00089
1667,sucr_p,C11477
1668,sulfac_p,C14179
1669,tartr__L_p,C00898
1670,taur_p,C00245
1671,tcynt_p,C01755
1672,thm_p,C00378
1673,thr__L_p,C00188
1674,thrp_p,C12147
1675,thym_p,C00178
1676,thymd_p,C00214
1677,tma_p,C00565
1678,tmao_p,C01104
1679,tre_p,C01083
1680,trp__L_p,C00078
1681,tsul_p,C00320
1682,tsul_p,C05529
1683,ttdca_p,C06424
1684,tym_p,C00483
1685,tyr__L_p,C00082
1686,tyrp_p,C06501
1687,uacgam_p,C00043
1688,udcpdp_p,C03543
1689,udcpdp_p,C04574
1690,udcpp_p,C00348
1691,udpacgal_p,C00203
1692,udpg_p,C00029
1693,udpgal_p,C00052
1694,udpglcur_p,C00167
1695,ump_p,C00105
1696,ura_p,C00106
1697,urea_p,C00086
1698,uri_p,C00299
1699,uri_p,C16745
1700,val__L_p,C00183
1701,xan_p,C00385
1702,xmp_p,C00655
1703,xtsn_p,C01762
1704,xyl__D_p,C00181
1705,xylu__L_p,C00312
1706,zn2_p,C00038
1707,zn2_p,C12570
