,NumRef,Refs
utp-->glusy,1,391438
2pg-->mgsa,1,137616
atp-->g3pat120,1,486381
gam6p-->glns,1,37497
oaa-->glusy,1,391438
atp-->serat,1,657835
meoh-->aspt,1,6019
fe2-->hbzopt,1,704240
coa-->ptpati,1,674344
2ddg6p-->glgc,1,643144
ni2-->agmt,1,246685
gdp-->gmand,1,5733
adp-->cdappa120,1,210004
nad-->manao,1,287131
glyc3p-->fba,1,4914
ptrc-->dhfr,1,392238
etoh-->aspt,1,6019
urea-->histd,1,286332
amp-->orpt,1,489719
acon_t-->aconmt,1,288664
ser__l-->serat,1,486752
pser__l-->aspt,1,6028
gcald-->rbp4e,1,2396
succ-->aspk,1,642329
nadh-->g6pdh2r,1,722577
uacgam-->uagdp,1,288685
mg2-->dmpps,1,661928
gtp-->glusy,1,391438
4per-->a5piso,1,2625
atp-->argtrs,1,280
gtp-->lysdc,1,714832
zn2-->orpt,1,489719
pep-->fba,1,4914
atp-->agmhe,1,2357
ump-->cdappa120,1,210004
amp-->impd,1,347946
zn2-->abutd,1,690591
pydxn-->gcaldd,1,390214
k-->durik1,1,641144
e4p-->ddpa,1,639796
dtbt-->dbts,1,1334
adpglc-->glcp2,1,488238
adp-->adsk,1,641215
fe2-->ddpa,1,639771
mg2-->bpnt,1,677696
cu2-->dhqti,1,5463
atp-->glusy,1,391438
so3-->cyanst,1,645502
nadph-->thd2pp,1,725040
utp-->ntd1,1,656266
udpglcur-->udpgd,1,286293
ctp-->cytdk2,1,641644
mn2-->a5piso,1,2624
no2-->fhl,1,698686
adp-->acgamk,1,641692
cyan-->no3r2bpp,1,395167
cu2-->g6pdh2r,1,722473
hom__l-->glusy,1,391438
lipa-->moat2,1,698691
pep-->pps,1,645473
zn2-->uagcvt,1,706916
datp-->3ntd2pp,1,656266
pi-->acoda,1,171964
ca2-->hbzopt,1,704240
ppa-->mcitd,1,653158
15dap-->lystrs,1,652528
pyr-->mohmt,1,485700
ppi-->kdoct2,1,645227
nadp-->hsdy,1,246400
asp__l-->glusy,1,391438
adn-->punp1,1,489693
pep-->icdhyr,1,680481
na1-->durik1,1,641144
urea-->3oas121,1,486918
hg2-->sucbzl,1,648945
fe2-->abutd,1,690591
pi-->trdr,1,393993
datp-->ntpp1,1,655847
so4-->ppm2,1,3340
ctp-->glusy,1,391438
ni2-->taudo,1,671717
ca2-->impd,1,701583
asp__l-->asns2,1,858
ahcys-->amaotr,1,637092
orn-->acota,1,644947
cys__l-->cysdds,1,648731
prpp-->gluprt,1,489747
hg2-->kdoct2,1,645227
mg2-->abutd,1,690591
imp-->gluprt,1,489747
hg2-->asp1dc,1,3992
ser__l-->hsdy,1,246398
amp-->adpt,1,638391
amp-->glcp2,1,488238
pi-->dpr,1,669806
mn2-->nads1,1,953
cobalt2-->ctps2,1,649002
pydxn-->hmpk1,1,641658
cobalt2-->glcrd,1,33840
lac__l-->uamas,1,1286
glyc3p-->pgsa120,1,644286
uri-->ctps2,1,702613
his__l-->glns,1,661216
cobalt2-->g5sd,1,390308
k-->gsnk,1,641925
amp-->dpr,1,669806
mal__l-->aspct,1,485853
met__l-->fthfd,1,208968
atp-->3ntd2pp,1,656266
acald-->pdh,1,348956
utp-->cytdk2,1,641644
uamag-->uagcvt,1,637590
ade-->amaotr,1,637092
zn2-->g6pda,1,648233
for-->fhl,1,698687
pmtcoa-->ear121x,1,390503
succ-->abta,1,661189
hg2-->pgpp120,1,94818
atp-->adncyc,1,34764
fe3-->ppm2,1,3340
gdp-->gluprt,1,489747
pyr-->glusy,1,391438
gua-->punp1,1,489654
gsn-->ctps2,1,674909
pydx5p-->ppcdc,1,4415
orn-->argtrs,1,269
zn2-->adncyc,1,34790
ni2-->dmpps,1,661928
amet-->admdc,1,4660
phe__l-->csnd,1,209497
cys__l-->mcpst,1,645548
ppi-->iletrs,1,454
zn2-->ppm2,1,3340
dtdpglu-->galui,1,643748
imp-->adpt,1,638391
1pyr5c-->ctps2,1,648963
2obut-->hopntal,1,702377
adp-->fbp,1,651666
pmtcoa-->g3pd2,1,287523
mlthf-->tmds,1,485397
acon_c-->fum,1,33771
ac-->durik1,1,641144
acald-->acald,1,724721
met__l-->glusy,1,391438
hg2-->betaldhx,1,390329
amp-->adk1,1,642586
nicrnt-->nndpr,1,638020
mn2-->lcadi,1,288133
zn2-->fclpa,1,679548
zn2-->dmpps,1,661928
dctp-->ntd10,1,656266
dcacoa-->edtxs1,1,726949
glc__d-->ppbngs,1,691351
hg2-->acgs,1,486063
glu__l-->dapdc,1,4110
adp-->ntd1,1,656266
ca2-->dhfr,1,392238
k-->glycdx,1,668061
cobalt2-->rndr1,1,715085
ca2-->histp,1,680722
ala__l-->ocbt,1,485898
oaa-->cs,1,659254
mn2-->agpr,1,390280
dgtp-->ctps2,1,674909
ctp-->ntpp1,1,655847
udp-->cbps,1,1731
pydx5p-->hsk,1,641473
fe2-->dmpps,1,661928
s17bp-->glgc,1,643144
leu__l-->ocbt,1,485898
cys__l-->zn2abcpp,1,654606
pan4p-->pntk,1,641393
f1p-->pfk,1,640421
23dappa-->gf6pta,1,639916
cd2-->g6pdh2r,1,722473
atp-->gdpmnp,1,657184
itp-->cbps,1,1731
fe2-->agpr,1,390280
udpg-->glcp2,1,488238
acgam1p-->uacmamo,1,720374
so4-->duripp,1,638445
fe2-->altrh,1,5901
spmd-->dhfr,1,392238
adp-->gdpmnp,1,657184
glc__d-->treptspp,1,641885
dttp-->g1ptt,1,643081
cys__l-->ppc,1,4311
cobalt2-->uagcvt,1,706916
glx-->hopntal,1,702377
fe2-->sucbzl,1,648945
fdp-->fruk,1,641683
ca2-->icl,1,33117
cobalt2-->amptasecg,1,137173
dtdpglu-->glcp2,1,488238
adp-->impd,1,347946
h2o2-->thrtrs,1,716771
glyc-->fum,1,653600
imp-->gmpr,1,394292
amp-->gdpmnp,1,657184
dgtp-->ntptp1,1,135502
amp-->acald,1,390164
uri-->pynp2r,1,638518
datp-->ntd10,1,656266
6pgc-->rpi,1,2787
etha-->betaldhx,1,390329
amp-->ab6pgh,1,136924
atp-->ppck,1,727382
adprib-->acald,1,390164
zn2-->cytd,1,209644
ara5p-->tala,1,486041
mn2-->arai,1,2729
indole-->ear121x,1,696692
adn-->mettrs,1,34
sarcs-->betaldhx,1,390329
acald-->betaldhx,1,390329
ag-->csnd,1,209497
ura-->ctps2,1,702613
camp-->ab6pgh,1,136924
tungs-->asad,1,390200
utp-->ntd10,1,656266
nad-->acald,1,390164
cobalt2-->abutd,1,690591
3hpp-->pants,1,978
so4-->sulri,1,392964
dctp-->rndr1,1,437918
nadph-->g3pd2,1,669175
so4-->tyrtrs,1,650300
gdp-->ctps2,1,674909
cd2-->asp1dc,1,3992
ca2-->mi1pp,1,665294
na1-->asad,1,390180
ac-->ugmdds,1,651110
dttp-->ntd1,1,656266
cu2-->acoda,1,171960
accoa-->forct,1,692851
dttp-->ntpp1,1,655847
histd-->histrs,1,369
mn2-->gcaldd,1,390215
3pg-->ppck,1,649304
gtp-->gsnk,1,641928
cu2-->ctps2,1,649002
tsul-->cyanst,1,645532
na1-->tmpk,1,642545
ni2-->a5piso,1,652445
gthox-->papsr,1,659214
gcald-->gcaldd,1,390213
mn2-->amptasecg,1,137173
ni2-->agpr,1,390280
akg-->sdpta,1,636965
pi-->galctd,1,5701
pnto__r-->citl,1,33364
adn-->aspct,1,485837
mn2-->acnml,1,33337
h2o2-->selnps,1,645490
zn2-->asp1dc,1,3992
ctp-->ntd10,1,656266
atp-->pps,1,645468
cit-->fbp,1,680756
cu2-->sulri,1,656421
nadh-->ab6pgh,1,136924
xmp-->gmps2,1,727023
for-->dpr,1,286109
mthgxl-->lcadi,1,288133
nadh-->pgcd,1,287525
ni2-->abutd,1,690591
ppi-->histrs,1,369
cyan-->glcral,1,5078
fdp-->ppc,1,4286
succ-->glusy,1,391438
ni2-->uagpt3,1,488971
adp-->oxcdc,1,714955
pheme-->nodox,1,285279
ins-->ctps2,1,674909
amp-->pntk,1,641393
aso4-->glcp2,1,488294
ribflv-->airc2,1,702643
gtp-->ntd10,1,656266
nadph-->gmand,1,5732
mn2-->sulri,1,656421
ac-->aspct,1,485853
cbm-->rndr1,1,437909
nadh-->agmhe,1,2357
pdx5p-->gcaldd,1,390214
dhf-->dhfs,1,694310
amp-->thd2pp,1,725040
cl-->kdopp,1,646344
zn2-->uagpt3,1,488971
selnp-->selnps,1,645479
accoa-->oxcdc,1,714955
ca2-->ppm2,1,3340
cys__l-->pants,1,979
cobalt2-->glutrr,1,656104
o2-->obtfl,1,487236
fe2-->dxprii,1,286427
mthgxl-->fclpa,1,690787
2pg-->ddpa,1,639749
4hbz-->chrpl,1,650373
pi-->g3pat120,1,486381
atp-->thd2pp,1,725040
cd2-->fci,1,2684
lipa-->moat,1,698691
2obut-->pdh,1,348956
trp__l-->ddpa,1,639767
ac-->adpt,1,638391
ppal-->drpa,1,5172
dhpt-->dhfs,1,649464
dad_2-->punp1,1,489693
adn-->orpt,1,489719
cys__l-->cystrs,1,181
ca2-->adpt,1,638391
dgtp-->ntd10,1,656266
4ahmmp-->hmpk1,1,641658
pro__l-->glns,1,667442
glu__d-->glusy,1,391438
icit-->glusy,1,391438
pmtcoa-->pntk,1,641393
hpyr-->glgc,1,643144
ni2-->ctps2,1,649002
urate-->ctps2,1,702613
nadph-->uapgr,1,286065
gly-->fthfd,1,208968
glu__l-->glntrs,1,651246
adn-->ctps2,1,674909
atp-->tmk,1,642072
hom__l-->pgcd,1,287525
pi-->prais,1,1308
hg2-->glucys,1,1120
23dappa-->serd_d,1,651969
adp-->prais,1,1308
datp-->leutrs,1,429
urea-->alatrs,1,649422
dctp-->aspct,1,718943
tartr__d-->dhqti,1,5473
nadp-->trdr,1,393993
ca2-->me2,1,722940
dad_2-->gmps2,1,1362
atp-->aso3t8pp,1,654492
pi-->rpi,1,653911
pi-->icl,1,33118
o2-->edd,1,33658
fe2-->chors,1,137655
amp-->pps,1,645473
cdp-->rndr1,1,437938
pydx5p-->gcaldd,1,390214
ag-->acnml,1,33314
cobalt2-->g6pdh2r,1,722473
o2-->qulns,1,684659
s7p-->ddpa,1,639741
coa-->oxcdc,1,714955
fald-->mddcp1pp,1,650384
hdcea-->g3pat120,1,486365
cu2-->abutd,1,690591
ala__d-->csnd,1,209497
etha-->lacz,1,171271
mnl1p-->treptspp,1,641866
succ-->aspct,1,485853
ala_b-->pgcd,1,287548
mg2-->pps,1,645468
utp-->ntpp1,1,655847
mg2-->mi1pp,1,729888
gmp-->cdappa120,1,210004
cobalt2-->adsk,1,641215
15dap-->dhfr,1,392238
nadh-->mthfr2,1,654771
pro__l-->p5cr,1,392126
fe2-->uagcvt,1,706916
coa-->maltatr,1,487511
fe3-->lplipal1a120pp,1,94382
hom__l-->csnd,1,209497
fe2-->lacz,1,679236
ser__l-->ocbt,1,485898
glc__d-->xyli1,1,671399
adp-->fruk,1,641683
itp-->ctps2,1,674909
zn2-->glycdx,1,636295
appl-->ethaal,1,34382
dutp-->upprt,1,638361
nadp-->p5cr,1,392126
cu2-->g5sd,1,390308
dcdp-->durik1,1,641132
3pg-->icl,1,33118
mg2-->lystrs,1,484
cit-->ppc,1,4311
hom__l-->hsdy,1,246400
meoh-->ophbdc,1,729319
f6p-->g6pda,1,648239
atp-->adsk,1,641215
ppi-->sertrs,1,84
fum-->aspct,1,485853
dpcoa-->pntk,1,641393
g1p-->glcp2,1,488238
h2o2-->csnd,1,209503
atp-->g6pdh2r,1,722473
arg__l-->argdc,1,4086
gtp-->gluprt,1,489747
adp-->adncyc,1,34764
adp-->leutrs,1,429
datp-->ntd1,1,656266
zn2-->feropp,1,696359
cd2-->sulri,1,656421
ca2-->pgsa120,1,644289
pi-->ocbt,1,485898
cyan-->ddpa,1,639777
cu2-->glycdx,1,636295
cys__l-->hcysmt,1,441382
ade-->orpt,1,489719
etha-->g1sat,1,3432
adp-->gtpci,1,209546
glyc-->aspt,1,6001
ctp-->3ntd2pp,1,656266
k-->asad,1,390180
mn2-->mi1pp,1,680809
dttp-->dctpd,1,686667
oxa-->forct,1,692851
athr__l-->pgcd,1,287525
gtp-->durik1,1,641123
pg180-->zn2abcpp,1,667819
trdrd-->adsk,1,641217
atp-->glyk,1,722712
citr__l-->argtrs,1,269
fe2-->glcp2,1,488238
ag-->abutd,1,690591
f1p-->fbp,1,651666
zn2-->acgs,1,486063
so3-->ntrir2x,1,392923
5mta-->ahcysns,1,171857
adp-->pfk,1,722736
ap5a-->cbps,1,1738
xtsn-->ctps2,1,674909
aacoa-->pntk,1,641393
gdp-->gsnk,1,641928
ppi-->fba,1,4943
8aonn-->aoxsr2,1,487047
gtp-->3ntd2pp,1,656266
na1-->aspt,1,5998
pi-->atps4rpp,1,210238
ppi-->dntppa,1,727800
succoa-->pntk,1,641393
ppi-->asns1,1,649836
zn2-->lystrs,1,674885
ca2-->betaldhx,1,390350
urea-->gludy,1,391685
acgam6p-->agdc,1,246597
akg-->sucoas,1,799
acon_c-->glusy,1,391438
ppgpp-->adpt,1,638391
ser__l-->serd_d,1,651969
nadp-->dpr,1,286108
zn2-->ctps2,1,649002
adp-->dpr,1,669806
3pg-->gdpmnp,1,657184
amp-->g3pd2,1,669177
atp-->dasyn120,1,643314
dhap-->g3pd2,1,669175
dttp-->ntd10,1,656266
ade-->durik1,1,641132
dttp-->dntppa,1,727800
zn2-->taudo,1,285263
nadh-->p5cr,1,392126
hg2-->sulri,1,656421
adp-->glusy,1,391438
glu__l-->tmds,1,485375
xyl__d-->ppbngs,1,691351
so4-->tala,1,486027
aso3-->trdr,1,394931
his__l-->glusy,1,391438
ca2-->pyk,1,654470
cit-->fba,1,4914
mn2-->pants,1,977
ni2-->g5sd,1,390308
pydx5p-->glyc3pabcpp,1,718976
zn2-->acoda,1,171960
ca2-->sulri,1,656421
glu__l-->aspk,1,642329
gthox-->adsk,1,641217
pap-->papsr,1,133778
dttp-->gtpci,1,209546
cys__l-->fba,1,4913
orn-->csnd,1,209497
atp-->g3pd2,1,669177
fe2-->asp1dc,1,3992
adp-->agmhe,1,2357
zn2-->gsnk,1,641925
cu2-->thd2pp,1,725040
mg2-->pants,1,977
gtp-->impd,1,347946
ins-->aspct,1,485837
cu2-->dxprii,1,286427
ser__l-->glns,1,37497
adp-->g3pd2,1,669177
5mta-->apcs,1,392545
1pyr5c-->gf6pta,1,639926
lald__l-->lcadi,1,288133
ile__l-->csnd,1,209497
atp-->gmpr,1,394292
urea-->tkt1,1,692117
zn2-->pgamt,1,210870
mn2-->ddglk,1,636960
dtdpglu-->g1ptt,1,643081
atp-->acgk,1,659704
accoa-->pdh,1,348914
cd2-->lacz,1,171273
glyb-->glns,1,667442
ppi-->gdpmnp,1,657184
ocdca-->dagk160,1,640361
atp-->orpt,1,489719
ca2-->atps4rpp,1,210238
ppgpp-->adss,1,1542
gmp-->gmps2,1,649891
ca2-->glcp2,1,488238
dtdprmn-->galui,1,643748
gtp-->ppc,1,4286
arg__l-->acgk,1,642354
4abz-->adcs,1,644230
amp-->tyrtrs,1,650300
cobalt2-->sulri,1,656421
cu2-->ppm2,1,3340
g6p-->pyk,1,641557
cl-->asp1dc,1,3973
dtdpglu-->udpg4e,1,2320
hom__l-->aspk,1,642329
asp__l-->asns1,1,1692
met__d-->glusy,1,391438
cinnm-->kas15,1,719087
ump-->ompdc,1,649973
tre6p-->glgc,1,643144
adp-->orpt,1,489719
meoh-->uagpt3,1,488978
zn2-->hbzopt,1,704240
glx-->icl,1,33156
glyald-->dxps,1,719975
fe2-->ap4ah,1,246765
