,NumRef,Refs
glu__l-->csnd,2,209489;209497
pyr-->pta2,2,487532;720217
zn2-->23pde2pp,2,135196;135203
cobalt2-->pants,2,977;978
gmp-->gluprt,2,489747;489763
ala__d-->ghmt2r,2,441412;441424
adp-->tmppp,2,639722;639723
gtp-->tmppp,2,639722;639723
gly-->uamas,2,1286;1289
atp-->ntd10,2,656266;95061
amet-->hsst,2,487044;671413
g3p-->fba,2,4943;652787
dhf-->dhnpa2r,2,5103;5104
cd2-->kdops,2,637395;637397
pyr-->acnml,2,33314;33332
cobalt2-->dmpps,2,639341;661928
nadp-->sulri,2,392964;392968
val__l-->pants,2,978;979
mg2-->impd,2,347946;701583
leu__l-->vpamtr,2,640186;640187
trp__l-->ans,2,33276;33310
val__l-->serd_l,2,210856;210863
spmd-->iletrs,2,454;462
ppi-->aspct,2,485837;485843
ca2-->kdopp,2,646344;652389
nadph-->nadk,2,641189;691390
cys__l-->hsk,2,641470;641471
dmso-->aspt,2,6001;6019
lys__l-->argdc,2,4085;4086
asp__l-->csnd,2,209489;209497
h2o2-->cbps,2,1725;1731
oaa-->citl,2,33352;33363
r1p-->pynp2r,2,638518;638520
cu2-->kdopp,2,646344;652389
r15bp-->ppm2,2,3340;3343
ca2-->adncyc,2,34764;34790
cd2-->kdopp,2,646344;652389
udp-->uagpt3,2,488976;703764
udp-->rndr1,2,437938;437939
succ-->icl,2,33117;33118
pi-->tala,2,486027;486041
adn-->amaotr,2,637092;637094
cyan-->ntrir2x,2,392923;392929
ac-->agdc,2,246592;246597
pep-->icl,2,33118;680481
ctp-->tmppp,2,639722;639723
adn-->cytd,2,209644;209660
adp-->prpps,2,642710;642737
apoacp-->acps1,2,645395;645401
citr__l-->argdc,2,4085;4086
glyclt-->pants,2,977;978
thf-->mohmt,2,485700;485701
utp-->tmppp,2,639722;639723
cu2-->lacz,2,171273;679236
mal__d-->aspt,2,6016;649266
cobalt2-->rmpa,2,5065;5067
nadh-->udpg4e,2,2320;2332
ura-->pynp2r,2,638518;638520
coa-->mohmt,2,485700;485701
zn2-->phetrs,2,336;337
gtp-->mthfd,2,392307;392308
nad-->ntrir2x,2,392926;392928
no-->dhad1,2,682577;700277
cys__l-->amptasecg,2,137173;137178
dhpt-->dhps2,2,639665;639666
met__l-->hcysmt,2,441382;692948
cobalt2-->adncyc,2,34764;34790
