met:EC,Glucose,Fructose,Galactose,Gluconate,Mannitol,Sorbitol,Mannose,Glycerol,Pyruvate,Lactate,Acetate,Succinate,glcNAc
6PGC:1.1.1.44,0.194968553459,0.458128078818,0.200431034483,0.0879848628193,0.313131313131,0.404347826087,0.335740072202,0.497326203209,0.519553072626,0.415178571429,0.3875,0.370517928287,0.31
ACON_C:2.1.1.144,0.999709954724,0.999564995172,0.999622973948,0.999564995172,0.999478039617,0.999536008306,0.999622973948,0.999593983719,0.999478039617,0.999507023121,0.997511097026,0.999651965858,0.999622973948
ACON_C:4.2.1.3,0.752861202615,0.670062039329,0.700895650191,0.670062039329,0.628583338374,0.655640656584,0.700895650191,0.68513211212,0.628583338374,0.64182696213,0.261568637665,0.71740164658,0.700895650191
ADP:2.7.1.107,0.597371565114,0.594530321046,0.607902735562,0.610128126907,0.602046959663,0.563063063063,0.615006150062,0.630119722747,0.650618087183,0.640204865557,0.619962802232,0.635727908455,0.62893081761
ADP:2.7.4.3,0.11780104712,0.116580310881,0.122448979592,0.123456790123,0.119840213049,0.103926096998,0.125698324022,0.1329394387,0.143540669856,0.138036809816,0.128022759602,0.135746606335,0.132352941176
ADP:3.1.3.5,0.525058048546,0.522114734706,0.536011545146,0.53833509182,0.529912364514,0.489849851335,0.543439205342,0.559349270765,0.581162709588,0.570047388197,0.548641032523,0.565290220803,0.558092419836
ADP:3.1.4.16,0.219907407407,0.217889908257,0.22754491018,0.229191797346,0.223266745006,0.1966873706,0.232843137255,0.24453024453,0.261348005502,0.252659574468,0.236612702366,0.249017038008,0.24358974359
ADP:3.6.3.14,0.129198966408,0.127877237852,0.134228187919,0.135317997294,0.131406044678,0.114155251142,0.137741046832,0.145560407569,0.156985871272,0.151057401813,0.140252454418,0.148588410104,0.144927536232
ADP:4.1.1.49,0.0690607734807,0.068306010929,0.0719424460432,0.0725689404935,0.070323488045,0.0605326876513,0.0739644970414,0.0784929356358,0.0851788756388,0.0816993464052,0.0754147812971,0.0802568218299,0.078125
AKG:1.1.1.290,0.261235955056,0.212814645309,0.384297520661,0.211845102506,0.217798594848,0.265714285714,0.284403669725,0.231920199501,0.135371179039,0.171270718232,0.286153846154,0.145539906103,0.234256926952
AKG:1.1.1.95,0.187757025485,0.150186578815,0.289781991652,0.149448188834,0.153990747535,0.191301899024,0.206227347586,0.164847083156,0.0928454876235,0.119019896362,0.207636029654,0.100189953778,0.166654643043
AKG:1.14.11.17,0.0568930218692,0.0440873076288,0.0962329956769,0.0438436408106,0.0453474292326,0.0581440342907,0.0634961648692,0.0489879317135,0.0260147541097,0.034055968974,0.0640085085766,0.0282371866935,0.0496005383441
AKG:1.4.1.13,0.124774292839,0.0982818186471,0.201046321974,0.0977692586581,0.10092740218,0.127316436213,0.138102232365,0.108522651579,0.0593733603944,0.0769115565006,0.139127132923,0.0642575952108,0.109793803381
