met:EC,Acetate,Fructose,Galactose,Gluconate,Glucose,Glycerol,Pyruvate,Succinate
icit:2.1.1.144,0.00876214613185,0.00136594343575,0.0034217382435,0.00161642546453,0.00174625557266,0.00174625557266,0.0496945261996,0.00310743584786
dhap:4.1.2.17,0.0271958341929,0.0697626959536,0.0180079744215,0.0421455938697,0.0525956627241,0.0689979729005,0.0198221702965,0.0239289091915
akg:2.6.1.82,0.0295972828724,0.0553420407595,0.0102104605126,0.0506313301654,0.0715856340093,0.0477001959733,0.0430284623482,0.101688825009
ade:3.5.4.2,0.0404828594795,0.0339225431814,0.0339225431814,0.0919476381123,0.0780469506782,0.0407334004792,0.0632365766981,0.04892848025
pyr:4.1.99.1,0.0901422107725,0.023967182988,0.0937866126391,0.0218682316775,0.044132406779,0.0622605415311,,0.105469034533
e4p:1.2.1.72,0.0755699892151,0.0471187928952,0.074102085115,0.0562438626883,0.0805503994464,0.0645709643372,0.0650709169044,0.0725065859241
nadph:3.1.3.7,0.072864977801,0.0863466735298,0.0607637357792,0.100202771206,0.109531772575,0.0732683605987,0.0587715422006,0.079038395019
nadph:1.6.5.3,0.0836136195151,0.0988719762454,0.0698617807725,0.114486158441,0.124960283248,0.0840711113287,0.0675927660927,0.0906087059181
cit:2.1.1.144,0.134758331692,0.058681765412,0.0674139261802,0.0582205187746,0.0829401511682,0.0448082712627,0.384530588381,0.0561517626703
g6p:2.6.1.16,0.0529294077257,0.0788397987265,0.313478561223,0.0717857681553,0.120062035626,0.0369973577615,0.0745614288772,0.161693588528
gal1p:2.7.7.12,0.0836991575628,0.0927961688679,0.235854346085,0.0915076704981,0.0902155068232,0.104051014432,0.105482943773,0.153350203157
nadp:3.1.4.16,0.149177538287,0.115044247788,0.10071942446,0.0925589836661,0.147727272727,0.119201409278,0.109263657957,0.145785876993
f1p:3.1.3.11,0.0471653168175,0.495204442201,0.0459835909178,0.141630901288,0.229702665229,0.0677729094807,0.0450725744843,0.0494296577947
glyc3p:3.1.3.21,0.153926945968,0.144467061982,0.16618746406,0.0711975146527,0.0784874483635,0.482724791752,0.137546468401,0.20608848007
gtp:2.7.1.107,0.16363042078,0.272088353414,0.142696662429,0.198961412038,0.265630671315,0.189083384598,0.179090394414,0.269061121613
akg:1.4.1.4,0.140063262849,0.238299328028,0.0522121417488,0.221669677351,0.291663242664,0.211037919189,0.193621522355,0.376757218069
amp:3.2.2.4,0.19309287501,0.268631609742,0.158650475362,0.182628123042,0.269913119661,0.187608318891,0.204644873936,0.265857478465
e4p:2.5.1.54,0.25783415622,0.173652907619,0.25379786817,0.202085766001,0.271301323602,0.226815902778,0.228265523085,0.24937538594
gmp:3.1.3.5,0.161899546476,0.152848814981,0.262296713201,0.206997816599,0.438497020521,0.228825700966,0.0995935116674,0.33684398842
e4p:2.2.1.2,0.26239014631,0.177076304406,0.258307359447,0.205930002728,0.276006782905,0.23099438562,0.232462682192,0.253833028264
g6p:2.4.1.15,0.145114589393,0.206321107519,0.581044909898,0.190216271239,0.292997104415,0.104495910161,0.19660124694,0.369419082265
f6p:3.5.99.6,0.21702284451,0.250077197936,0.144352728005,0.253436388389,0.312492417196,0.220147713198,0.280484191814,0.434633675879
akg:2.6.1.11,0.188179899334,0.308073399574,0.0727002967359,0.288418296189,0.36948297604,0.275719210824,0.254688012402,0.46245807173
nadh:1.8.1.7,0.117715890475,0.735753837527,0.434613077385,0.13769441903,0.14337650534,0.301851851852,0.348652384243,0.181146828844
nadph:1.1.1.58,0.295029961227,0.334774654914,0.256229081443,0.372253609542,0.395770392749,0.296270232231,0.249530956848,0.313658201784
cit:4.2.1.3,0.437994614815,0.237772409291,0.265633860185,0.236256791698,0.311560808996,0.190109576171,0.757653766782,0.229402812623
pyr:4.1.3.3,0.455205413814,0.17156574075,0.466049084885,0.158641662443,0.280257373026,0.358954555284,,0.498589405134
f6p:2.2.1.2,0.290046144935,0.329541468405,0.19914328337,0.333493389353,0.401179794853,0.293827884637,0.364909025671,0.53120205773
nadh:1.5.1.3,0.146583945594,0.78187143754,0.497384284296,0.170515017122,0.177273043255,0.357575266642,0.407966808602,0.221662258656
icit:4.1.3.1,0.547083568028,0.157475153429,0.319347638927,0.18115930797,0.192923287408,0.192923287408,0.8772367162,0.29871225712
gtp:2.7.1.11,0.283584078906,0.43061440678,0.251926723613,0.33445804764,0.422578522607,0.32054482824,0.306227815424,0.426857714095
f6p:2.2.1.1,0.299898167006,0.340092387066,0.206807037785,0.344105897084,0.412612805041,0.303753402114,0.375957338174,0.542980597449
e4p:2.2.1.1,0.388586956522,0.277688603531,0.383561643836,0.316628701595,0.405155320555,0.349240780911,0.351117519827,0.37802349689
gmp:3.1.3.6,0.274755927476,0.261363636364,0.410831633809,0.338590689392,0.604983287754,0.367858011184,0.178255372946,0.499036608863
atp:6.1.1.9,0.354519735216,0.442328456674,0.303115223226,0.330536781306,0.457681878498,0.336500250577,0.380600948867,0.451017952881
akg:2.2.1.9,0.278672757874,0.425969155409,0.115566037736,0.403175108423,0.494097807757,0.38817963046,0.362867943762,0.589131149337
nadph:1.5.1.34,0.36598163533,0.40972928964,0.32211313698,0.449924127466,0.474637681159,0.367364746946,0.314420803783,0.386632825719
f1p:2.7.1.56,0.215425732553,0.84475928116,0.210961633186,0.477876402384,0.623226714432,0.287377263484,0.207492990593,0.223870093845
nadh:1.5.1.2,0.179450588655,0.820270375869,0.557522123894,0.20744314266,0.215284885705,0.41475826972,0.467345993516,0.266113592853
nadh:1.1.1.86,0.195491643995,0.835282883743,0.583333333333,0.225299401198,0.233617178823,0.440540540541,0.493639921722,0.287190082645
nadph:1.4.1.4,0.406665913482,0.451811177023,0.360695114462,0.492688491714,0.517540978192,0.408103810761,0.352560604381,0.42806283801
akg:2.6.1.19,0.351318581388,0.509871283954,0.154818325434,0.486391782269,0.577909270217,0.470742444477,0.443953645481,0.667784401391
akg:2.6.1.42,0.362100648498,0.521606591875,0.161067149764,0.498135918823,0.5893276344,0.482463668087,0.455582015416,0.678125613325
f6p:2.6.1.16,0.436284401606,0.482168752814,0.320221718587,0.486622541144,0.55930765932,0.440789033799,0.521183369178,0.682194452673
nadph:1.14.12.17,0.481865284974,0.527930763179,0.433606041536,0.568552253116,0.592760180995,0.483352468427,0.424920127796,0.503858875413
akg:2.6.1.29,0.397053785543,0.558476744769,0.182156133829,0.535203084561,0.62473347548,0.519571982312,0.492590670588,0.709647617791
icit:1.1.1.42,0.734890388796,0.300177785032,0.518469754536,0.336746087353,0.354242570282,0.354242570282,0.942524489394,0.494311879598
