met:EC,Acetate,Fructose,Galactose,Gluconate,Glucose,Glycerol,Pyruvate,Succinate
nadp:1.5.1.2,4.38314120564e-05,3.24989437843e-05,2.7999216022e-05,2.54993497666e-05,4.33314556369e-05,3.38321886776e-05,3.06657262511e-05,4.26648462999e-05
amp:6.1.1.19,0.000448486269817,0.00068821353594,0.000353437537741,0.000418762064867,0.000692707323942,0.000432812592148,0.00048220486629,0.000678539271834
amp:2.7.1.35,0.000551925978723,0.00084689754123,0.000434964569648,0.000515349662401,0.000852426595126,0.00053263922119,0.000593416878086,0.000834994509204
ade:6.3.3.3,0.00699616339427,0.00582945456189,0.00582945456189,0.0166279277669,0.0139393124468,0.00704098212674,0.0111470693995,0.00851773401235
succ:2.7.2.4,0.0133667092553,0.0128840362241,0.0147648944001,0.0111417581153,0.0168568852789,0.00881469198449,0.0115431862377,
amp:3.1.3.5,0.0302682783889,0.0457183873471,0.0240052279372,0.0283181877712,0.0460033763185,0.0292409508374,0.0324711108494,0.0451042912183
ade:3.2.2.9,0.0491283676704,0.0412272291467,0.0412272291467,0.110320284698,0.0939293264875,0.0494296577947,0.076354679803,0.0592662276576
succ:2.6.1.19,0.0738866917518,0.0713767355797,0.0810950624175,0.0622232256048,0.0917103430644,0.0497642007461,0.0643453189543,
nadp:1.1.1.94,0.0951863916033,0.0723562152134,0.0629685157421,0.0576705616283,0.0942028985507,0.0751017388087,0.0685543964232,0.0928882438316
mal__l:2.7.2.4,0.0679516038267,0.0692283376067,0.0290977570326,0.0505076201242,0.068153167488,0.038412691501,0.0426732896816,0.319557584044
adp:3.5.4.16,0.0817685138423,0.121319426749,0.0729581904144,0.0781880865028,0.12208312117,0.0779671018662,0.0898831409953,0.118569967916
amp:1.1.1.169,0.1022955585,0.14886718275,0.082395094455,0.0961651578842,0.149694294854,0.0990733325706,0.109150299071,0.147081122062
glyc3p:1.1.1.94,0.107070379089,0.100149293413,0.116110887907,0.0480929407438,0.0531525715515,0.380831093537,0.0951156812339,0.146095326813
f1p:3.1.3.11,0.0471653168175,0.495204442201,0.0459835909178,0.141630901288,0.229702665229,0.0677729094807,0.0450725744843,0.0494296577947
amp:1.1.1.94,0.125553087672,0.180583097068,0.101640404621,0.118212440259,0.181548836981,0.121697582912,0.133734125678,0.178496319664
atp:2.7.2.8,0.145174170763,0.196952646622,0.118549317746,0.13244732614,0.206949625649,0.1355605918,0.159663865546,0.202572752121
atp:3.1.3.6,0.176428776467,0.236273521825,0.145044450594,0.161479553671,0.247650860051,0.165145337458,0.193332440755,0.242676588337
nadp:1.1.1.271,0.275970619098,0.220338983051,0.195804195804,0.181494661922,0.273684210526,0.227323628219,0.210526315789,0.270613107822
fum:2.1.3.2,0.207654357901,0.23289574619,0.0937847311276,0.176890821556,0.192196311538,0.122225902617,0.202995533767,0.660869453936
gdp:3.5.4.16,0.201660546064,0.313438300989,0.184161862287,0.23473292179,0.338390966831,0.224124553872,0.221102918268,0.320713703469
gmp:6.3.5.2,0.229871645274,0.218009478673,0.354586348523,0.287410926366,0.546827794562,0.314356949927,0.145962732919,0.439728353141
succ:2.1.3.2,0.380980173679,0.372231090704,0.405045216564,0.338561844468,0.437859368475,0.287749287749,0.346624850657,
adp:3.1.3.5,0.406528189911,0.515052038647,0.377096310494,0.394842193464,0.51683639337,0.394108873975,0.431718831964,0.508543777408
pep:4.1.3.1,0.386802169883,0.519582526361,0.312230437461,0.437551174655,0.476338474169,0.445754716981,0.307751937984,0.680443728753
adp:1.1.1.169,0.458902344757,0.568025671617,0.428415895482,0.446844378885,0.569777923461,0.446085672083,0.48468786808,0.561623246493
akg:2.3.3.16,0.432624113475,0.594255512252,0.205020920502,0.571420515423,0.658426966292,0.555996962084,0.529207706126,0.738903394256
adp:1.1.1.94,0.526767228631,0.63314532031,0.495904221802,0.514622011892,0.634803250251,0.513855128828,0.552472588946,0.627074398657
nadp:1.8.1.9,0.636803874092,0.565217391304,0.528301886792,0.50495049505,0.634146341463,0.57507082153,0.550898203593,0.630541871921
amp:3.1.4.16,0.548895175472,0.651279626455,0.489486891062,0.531857494247,0.652757342122,0.540068599938,0.566781702034,0.648055356717
gmp:1.1.1.205,0.517060367454,0.5,0.663373582144,0.591292758774,0.812321501428,0.621866009042,0.380053908356,0.737891737892
pep:1.1.1.42,0.64502461926,0.757015206145,0.566675985463,0.691450184135,0.723781520093,0.698502236919,0.56152758133,0.859823649107
amp:2.4.2.14,0.666017255775,0.753745126206,0.611105109647,0.650587207609,0.754952011436,0.658054711246,0.681950702359,0.75110619469
succ:6.3.4.4,0.70763115535,0.699861734057,0.728061598631,0.668096214805,0.753885293955,0.613715277778,0.675986602592,
amp:6.1.1.1,0.672253956363,0.758936565879,0.617778748498,0.656963638146,0.760126105133,0.664365170694,0.688029236117,0.756335282651
adp:2.7.6.1,0.72723560637,0.805213740013,0.702051739518,0.717475892404,0.80633190305,0.716853170566,0.747276029056,0.801095759886
atp:3.1.3.5,0.757808830437,0.818796810824,0.712473425574,0.737724722227,0.82782009809,0.742882520686,0.777807702666,0.823954932463
adp:2.7.1.56,0.760785988894,0.831396399109,0.737582005623,0.751817053714,0.83239554651,0.751243781095,0.779110129378,0.827713512183
amp:2.7.9.3,0.80853699741,0.866341693529,0.768927551991,0.797691300726,0.867094050504,0.802967083913,0.819513748806,0.864692773002
pyr:2.3.3.9,0.914305678238,0.7256110431,0.917664196593,0.706546275395,0.832556222468,0.877302929629,,0.926993362012
pyr:4.1.3.39,0.931498569529,0.771187581318,0.934231736411,0.75421686747,0.863705604105,0.901116798511,,0.941802745541
atp:3.6.3.16,0.866998051992,0.903974393172,0.837724869893,0.854226868639,0.909226361032,0.857536020722,0.879415347138,0.906983299274
gdp:1.1.1.271,0.861332120937,0.918208635023,0.847347347347,0.882939934753,0.926346293166,0.876593162047,0.874691865242,0.920696827873
atp:1.1.1.169,0.894332039911,0.924372039971,0.870174094411,0.883833863381,0.928596511764,0.886560169602,0.904478546821,0.926793557833
dhap:4.1.2.13,0.921648987464,0.969283115165,0.885270496867,0.948754336172,0.958947800549,0.968928511676,0.894839022812,0.911624745071
adp:2.7.2.11,0.936875328774,0.958353578122,0.929161747344,0.933935256551,0.958637805046,0.933745583039,0.942726231386,0.957301451751
nadph:1.1.1.49,0.943630214205,0.952673923332,0.932341001353,0.959546925566,0.963235294118,0.943946188341,0.93006993007,0.948132780083
gtp:6.3.4.2,0.934141924153,0.964412811388,0.923474268223,0.947389188478,0.963267929842,0.944149678861,0.94053518335,0.96388261851
atp:3.5.4.16,0.953813183565,0.967556905188,0.942377725534,0.948886753491,0.969448857387,0.950172403484,0.958513109857,0.968642600908
nad:1.1.1.94,0.973418041175,0.950979190666,0.96261682243,0.95463515322,0.960470402214,0.956481058381,0.97122509172,0.972848958758
nadh:2.3.3.16,0.947269303202,0.997339667458,0.99043062201,0.955555555556,0.95751138088,0.983112183353,0.986314760508,0.967517401392
gdp:1.17.4.1,0.981860585644,0.989881468633,0.97974537037,0.98501391565,0.99095840868,0.984101748808,0.983826247689,0.990212527964
nadph:1.2.1.41,0.988193624557,0.990162321692,0.985693848355,0.991638795987,0.992424242424,0.988262910798,0.985185185185,0.989177489177
amp:2.7.7.27,0.990343495655,0.993687438002,0.987777195739,0.989664845711,0.993728160559,0.989997142041,0.991012967005,0.993597951344
nadph:1.1.1.86,0.992882562278,0.994074074074,0.991366906475,0.994966442953,0.995440729483,0.992924528302,0.991058122206,0.99347826087
amp:3.1.3.11,0.999137115181,0.999437651925,0.998905212601,0.999075895785,0.999441300508,0.999105880996,0.999197431782,0.999429633309
