,EC_number,bigg.metabolite,KI_Value,growth condition,concentration,saturation,met:EC
81,2.7.9.3,amp,0.17,Fructose,1.1019,0.866341693529,amp:2.7.9.3
82,3.1.3.11,amp,0.00062,Fructose,1.1019,0.999437651925,amp:3.1.3.11
83,3.1.3.5,amp,23.0,Fructose,1.1019,0.0457183873471,amp:3.1.3.5
84,6.1.1.1,amp,0.35,Fructose,1.1019,0.758936565879,amp:6.1.1.1
85,1.1.1.169,atp,0.61,Fructose,7.4558,0.924372039971,atp:1.1.1.169
86,1.6.5.11,atp,9.0,Fructose,7.4558,0.453080372878,atp:1.6.5.11
87,2.7.2.8,atp,30.4,Fructose,7.4558,0.196952646622,atp:2.7.2.8
88,3.1.3.31,atp,0.0017,Fructose,7.4558,0.999772041569,atp:3.1.3.31
89,3.1.3.41,atp,0.5,Fructose,7.4558,0.937152769049,atp:3.1.3.41
90,3.1.3.5,atp,24.1,Fructose,7.4558,0.236273521825,atp:3.1.3.5
91,3.1.3.6,atp,24.1,Fructose,7.4558,0.236273521825,atp:3.1.3.6
92,3.6.1.11,atp,24.1,Fructose,7.4558,0.236273521825,atp:3.6.1.11
93,3.6.3.16,atp,0.792,Fructose,7.4558,0.903974393172,atp:3.6.3.16
94,6.3.4.14,atp,27.0,Fructose,7.4558,0.216387371647,atp:6.3.4.14
95,1.1.1.42,pep,0.31,Fructose,0.9658,0.757015206145,pep:1.1.1.42
96,2.7.11.5,pep,0.55,Fructose,0.9658,0.637155297533,pep:2.7.11.5
97,4.1.3.1,pep,0.893,Fructose,0.9658,0.519582526361,pep:4.1.3.1
98,1.1.1.49,nadph,0.01,Fructose,0.2013,0.952673923332,nadph:1.1.1.49
99,1.1.1.86,nadph,0.0012,Fructose,0.2013,0.994074074074,nadph:1.1.1.86
100,1.5.1.30,nadph,0.0035,Fructose,0.2013,0.98291015625,nadph:1.5.1.30
101,1.6.1.2,nadph,0.26,Fructose,0.2013,0.436375460655,nadph:1.6.1.2
102,2.7.11.5,nadph,0.042,Fructose,0.2013,0.827373612824,nadph:2.7.11.5
103,1.1.1.94,nad,0.2,Fructose,3.8799,0.950979190666,nad:1.1.1.94
104,1.6.5.11,nad,0.02,Fructose,3.8799,0.994871663376,nad:1.6.5.11
105,1.1.1.94,nadp,0.25,Fructose,0.0195,0.0723562152134,nadp:1.1.1.94
106,1.5.1.30,nadp,0.0139,Fructose,0.0195,0.583832335329,nadp:1.5.1.30
107,1.6.1.2,nadp,0.17,Fructose,0.0195,0.10290237467,nadp:1.6.1.2
108,1.8.1.9,nadp,0.015,Fructose,0.0195,0.565217391304,nadp:1.8.1.9
109,1.17.4.1,gdp,0.007,Fructose,0.6848,0.989881468633,gdp:1.17.4.1
110,3.6.5.4,gdp,0.0002,Fructose,0.6848,0.999708029197,gdp:3.6.5.4
111,1.8.1.4,nadh,0.009,Fructose,1.0497,0.991499008218,nadh:1.8.1.4
112,2.3.3.16,nadh,0.0028,Fructose,1.0497,0.997339667458,nadh:2.3.3.16
113,2.1.3.2,fum,5.3,Fructose,1.6091,0.23289574619,fum:2.1.3.2
114,2.1.3.2,succ,3.5,Fructose,2.0753,0.372231090704,succ:2.1.3.2
115,2.6.1.19,succ,27.0,Fructose,2.0753,0.0713767355797,succ:2.6.1.19
116,2.7.2.4,succ,159.0,Fructose,2.0753,0.0128840362241,succ:2.7.2.4
117,6.3.4.4,succ,0.89,Fructose,2.0753,0.699861734057,succ:6.3.4.4
118,2.3.3.16,akg,0.76,Fructose,1.1131,0.594255512252,akg:2.3.3.16
119,2.3.3.9,pyr,0.65,Fructose,1.7189,0.7256110431,pyr:2.3.3.9
120,2.7.11.5,pyr,0.2,Fructose,1.7189,0.895773620303,pyr:2.7.11.5
121,4.1.2.52,pyr,0.51,Fructose,1.7189,0.771187581318,pyr:4.1.2.52
122,4.1.3.39,pyr,0.51,Fructose,1.7189,0.771187581318,pyr:4.1.3.39
123,2.7.11.5,icit,0.016,Fructose,0.0147,0.478827361564,icit:2.7.11.5
124,2.7.4.1,gmp,0.0007,Fructose,0.092,0.992448759439,gmp:2.7.4.1
125,3.1.3.11,f1p,1.0,Fructose,0.981,0.495204442201,f1p:3.1.3.11
126,3.2.2.9,ade,0.3,Fructose,0.0129,0.0412272291467,ade:3.2.2.9
127,6.3.3.3,ade,2.2,Fructose,0.0129,0.00582945456189,ade:6.3.3.3
128,4.1.2.13,dhap,0.13,Fructose,4.1022,0.969283115165,dhap:4.1.2.13
129,6.3.4.2,gtp,0.12,Fructose,3.252,0.964412811388,gtp:6.3.4.2
130,1.1.1.169,adp,1.05,Galactose,0.787,0.428415895482,adp:1.1.1.169
131,1.1.1.94,adp,0.8,Galactose,0.787,0.495904221802,adp:1.1.1.94
132,1.6.5.11,adp,0.7,Galactose,0.787,0.529253530599,adp:1.6.5.11
133,2.7.1.170,adp,0.4,Galactose,0.787,0.66301600674,adp:2.7.1.170
134,2.7.1.56,adp,0.28,Galactose,0.787,0.737582005623,adp:2.7.1.56
135,2.7.11.5,adp,0.45,Galactose,0.787,0.636216653193,adp:2.7.11.5
136,2.7.2.11,adp,0.06,Galactose,0.787,0.929161747344,adp:2.7.2.11
137,2.7.4.1,adp,0.09,Galactose,0.787,0.897377423033,adp:2.7.4.1
138,2.7.6.1,adp,0.334,Galactose,0.787,0.702051739518,adp:2.7.6.1
139,3.1.3.31,adp,0.0013,Galactose,0.787,0.998350881644,adp:3.1.3.31
140,1.1.1.169,amp,6.3,Galactose,0.5657,0.082395094455,amp:1.1.1.169
141,1.1.1.94,amp,5.0,Galactose,0.5657,0.101640404621,amp:1.1.1.94
142,1.6.1.2,amp,3.4,Galactose,0.5657,0.142648208387,amp:1.6.1.2
143,1.6.5.11,amp,0.5,Galactose,0.5657,0.530824809984,amp:1.6.5.11
